topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g
T1,LO1a_1,ER1a_1_1,0,1,1,0,0,1,0,1,1,0
T1,LO1a_1,ER1b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO1a_1,ER1c_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2a_1,ER2a_1_1,0,1,1,0,1,0,0,1,1,0
T1,LO2a_1,ER2b_1_1,0,1,0,1,1,0,0,1,1,0
T1,LO2b_1,ER3a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2b_1,ER3b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2c_1,ER4a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2c_1,ER4b_1_1,1,0,0,1,0,1,0,1,1,0
T1,LO2c_1,ER4c_1_1,1,0,0,1,0,1,0,1,1,0
T1,LO2d_1,ER5a_1_1,1,0,1,0,1,0,1,0,1,0
T1,LO2d_1,ER5b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2d_1,ER5c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2d_1,ER5d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2d_1,ER5e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2e_1,ER6b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2e_1,ER6c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO2e_1,ER6f_1_1,1,0,0,1,1,0,1,0,0,1
T1,LO2f_1,ER7a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2f_1,ER7b_1_1,0,1,0,1,0,1,0,0,1,0
T1,LO2f_1,ER7c_1_1,0,1,0,1,0,1,1,0,1,0
T1,LO2g_1,ER8a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO2g_1,ER8b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO2g_1,ER8c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3a_1,ER9a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO3a_1,ER9a_1_2,1,0,0,1,0,1,0,0,0,0
T1,LO3a_1,ER9a_1_3,0,1,1,0,1,0,0,0,0,1
T1,LO3a_1,ER9a_1_4,0,1,1,0,0,0,0,0,0,1
T1,LO3a_1,ER9b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO3a_1,ER9b_1_2,0,1,1,0,1,0,0,0,0,1
T1,LO3a_1,ER9b_1_3,1,0,0,1,0,1,0,1,0,0
T1,LO3a_1,ER9b_1_4,0,1,1,0,1,0,0,0,1,0
T1,LO3a_1,ER9b_1_5,1,0,0,1,0,1,0,1,1,0
T1,LO3b_1,ER10a_1_1,1,0,1,0,1,0,0,1,1,0
T1,LO3b_1,ER10b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO3b_2,ER10b_2_1,1,0,0,1,1,0,1,0,0,1
T1,LO3b_2,ER10b_2_2,1,0,0,1,1,0,0,1,0,1
T1,LO3b_2,ER10b_2_3,0,1,1,0,1,0,0,1,1,0
T1,LO3c_1,ER11a_1_1,1,0,1,0,0,0,0,0,0,0
T1,LO3c_1,ER11a_1_2,1,0,0,1,0,1,0,0,0,1
T1,LO3c_1,ER11a_1_3,0,1,1,0,0,1,0,0,0,0
T1,LO3c_1,ER11a_1_4,0,1,1,0,0,0,1,0,0,0
T1,LO3c_1,ER11b_1_1,0,1,0,1,0,1,0,1,1,0
T1,LO3c_1,ER11b_1_2,1,0,0,1,0,0,0,1,0,0
T1,LO3c_1,ER11b_1_3,0,1,1,0,1,0,1,0,0,1
T1,LO3c_1,ER11b_1_4,0,1,1,0,1,0,1,0,1,0
T1,LO3c_1,ER11b_1_5,0,1,1,0,1,0,0,1,1,0
T1,LO3c_1,ER11c_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11c_1_2,1,0,0,1,0,1,0,1,1,0
T1,LO3c_1,ER11c_1_3,1,0,0,1,0,0,0,1,0,0
T1,LO3c_1,ER11c_1_4,1,0,0,1,0,1,0,1,0,1
T1,LO3c_1,ER11c_1_5,1,0,0,1,0,1,0,1,0,0
T1,LO3c_1,ER11d_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11d_1_2,0,1,1,0,0,1,1,0,0,1
T1,LO3c_1,ER11d_1_3,1,0,0,1,1,0,0,0,0,1
T1,LO3c_1,ER11d_1_4,1,0,0,1,1,0,0,1,0,1
T1,LO3c_1,ER11e_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11f_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11f_1_2,0,1,1,0,0,0,1,0,0,0
T1,LO3c_1,ER11f_1_3,0,1,1,0,0,0,0,0,0,1
T1,LO3c_1,ER11f_1_4,1,0,0,1,0,1,0,0,0,0
T1,LO3c_1,ER11g_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11g_1_2,1,0,0,1,0,1,0,1,0,0
T1,LO3c_1,ER11g_1_3,0,1,1,0,0,1,0,1,0,0
T1,LO3c_1,ER11g_1_4,1,0,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11g_1_5,1,0,0,1,1,0,0,1,1,0
T1,LO3c_1,ER11h_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11h_1_2,0,1,1,0,0,0,0,0,1,0
T1,LO3c_1,ER11i_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11i_1_2,0,1,1,0,0,1,0,1,1,0
T1,LO3c_1,ER11i_1_3,0,1,1,0,0,0,0,0,0,1
T1,LO3c_1,ER11j_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11k_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11k_1_2,1,0,0,1,1,0,0,1,1,0
T1,LO3c_1,ER11k_1_3,0,1,1,0,0,1,0,1,0,0
T1,LO3c_1,ER11k_1_4,1,0,0,1,0,0,1,0,0,1
T1,LO3c_1,ER11l_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11l_1_2,0,1,1,0,1,0,0,0,0,0
T1,LO3c_1,ER11l_1_3,0,1,1,0,1,0,0,1,1,0
T1,LO3c_1,ER11m_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11n_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11n_1_2,0,1,1,0,0,1,0,1,0,0
T1,LO3c_1,ER11n_1_3,0,1,1,0,0,0,0,0,1,0
T1,LO3c_1,ER11o_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11o_1_2,0,1,1,0,0,1,0,1,0,1
T1,LO3c_1,ER11o_1_3,0,1,1,0,1,0,0,0,1,0
T1,LO3c_1,ER11p_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11p_1_2,1,0,0,1,0,1,1,0,1,0
T1,LO3c_1,ER11p_1_3,0,1,1,0,0,1,0,1,0,1
T1,LO3c_1,ER11p_1_4,0,1,1,0,1,0,0,1,0,1
T1,LO3c_1,ER11q_1_1,0,1,0,1,0,0,0,0,0,0
T1,LO3c_1,ER11q_1_2,1,0,0,1,1,0,1,0,0,1
