tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
T7,When your defences fail,,,,,,,,,
LO1a_1,,,,,,,,,,none
ER1a_1_1,Introduction,P:S,I:V,O:I,,,video,shallow,Understand,none
ER1b_1_1,Introduction,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
,Part 1,,,,,,,,,
LO2a_1,,,,,,,,,,none
ER2a_1_1,Identity theft,P:S,I:V,,,,video,general,Understand,adaptable
ER2a_1_2,Identity theft,P:I,I:V,O:I,Pr:A,U:S,website,shallow,apply,adaptable
ER2b_1_1,Identity theft,P:I,I:A,O:D,Pr:R,U:S,text,general,Understand,none
LO2b_1,,,,,,,,,,none
ER3a_1_1,Loss of data,P:S,I:V,,,,image,shallow,,none
ER3b_1_1,Loss of data,P:I,I:A,O:D,Pr:R,U:S,text,general,Understand,none
ER3c_1_1,Loss of data,P:I,I:A,O:I,Pr:A,U:S,text,general,Evaluate,none
ER3d_1_1,Loss of data,P:I,I:A,,,,website,general,,none
LO2c_1,,,,,,,,,,none
ER4a_1_1,Risks of data loss,P:S,I:V,,,,image,shallow,,adaptable
ER4a_1_2,Risks of data loss,P:I,I:V,O:D,Pr:A,U:S,image,shallow,understand,adaptable
ER4a_1_3,Risks of data loss,P:S,I:A,O:I,Pr:A,,image,general,understand,adaptable
ER4a_1_4,Risks of data loss,P:I,I:V,O:I,,U:G,text,deep,,adaptable
ER4a_1_5,Risks of data loss,P:I,I:V,O:D,Pr:R,,video,general,evaluate,adaptable
ER4b_1_1,Risks of data loss,P:I,I:A,O:D,Pr:R,U:S,text,general,"Understand, Apply",none
ER4c_1_1,Risks of data loss,P:I,I:A,O:I,Pr:A,U:S,text,general,Evaluate,adaptable
ER4c_1_2,Risks of data loss,P:S,I:A,O:D,Pr:R,U:S,image,shallow,create,adaptable
ER4c_1_3,Risks of data loss,P:I,I:V,,Pr:R,U:S,text,shallow,remember,adaptable
