tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
T3,Malware,,,,,,,,,
LO1a_1,,,,,,,,,,none
ER1a_1_1,Introduction,P:S,I:V,O:I,,,video,shallow,Understand,none
ER1b_1_1,Introduction,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
,Part 1,,,,,,,,,
LO2a_1,,,,,,,,,,adaptable
ER2a_1_1,Viruses,P:S,I:V,,,,image,shallow,,adaptive
ER2a_1_2,Viruses,P:S,I:A,,,U:S,image,general,,adaptive
ER2a_1_3,Viruses,P:S,I:A,,Pr:R,U:S,audio,deep,remember,adaptive
ER2a_1_4,Viruses,P:I,I:V,O:I,,U:G,image,general,analyze,adaptive
ER2a_1_5,Viruses,P:I,I:V,,Pr:A,U:S,video,deep,,adaptive
ER2b_1_1,Viruses,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,adaptive
ER2b_1_2,Viruses,P:I,I:V,O:D,,U:S,audio,general,apply,adaptive
ER2b_1_3,Viruses,P:S,I:A,,Pr:R,,website,deep,analyze,adaptive
ER2b_1_4,Viruses,P:I,I:V,,Pr:A,U:S,video,deep,analyze,adaptive
ER2b_1_5,Viruses,P:S,I:A,,,U:S,audio,shallow,create,adaptive
LO2a_2,,,,,,,,,,adaptable
ER2a_2_1,Viruses,P:I,I:V,O:I,,U:G,audio,deep,evaluate,adaptive
ER2a_2_2,Viruses,P:I,I:V,,Pr:R,U:S,video,shallow,,adaptive
ER2a_2_3,Viruses,P:S,I:A,O:I,Pr:A,U:S,website,deep,understand,adaptive
ER2a_2_4,Viruses,P:S,I:A,,Pr:A,U:S,video,general,analyze,adaptive
ER2b_2_1,Viruses,P:I,I:V,O:I,,U:G,text,deep,understand,none
LO2b_1,,,,,,,,,,adaptive
ER3a_1_1,Worms,P:S,I:V,,,,image,shallow,,adaptive
ER3a_1_2,Worms,P:S,I:A,,Pr:R,,image,general,analyze,adaptive
ER3a_1_3,Worms,P:I,I:V,O:D,Pr:R,U:S,text,deep,analyze,adaptive
ER3b_1_1,Worms,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,adaptable
ER3b_1_2,Worms,P:I,I:V,O:D,Pr:R,,image,deep,apply,adaptable
LO2b_2,,,,,,,,,,adaptive
ER3b_2_1,Worms,P:I,I:V,O:D,Pr:A,U:G,image,general,create,none
LO2c_1,,,,,,,,,,adaptable
ER4a_1_1,Trojans,P:S,I:V,,,,image,shallow,,adaptive
ER4a_1_2,Trojans,P:I,I:V,O:I,,,audio,deep,understand,adaptive
ER4a_1_3,Trojans,P:S,I:A,O:I,,U:S,text,shallow,,adaptive
ER4a_1_4,Trojans,P:S,I:A,O:D,Pr:A,,text,general,evaluate,adaptive
ER4a_1_5,Trojans,P:S,I:A,O:I,Pr:A,U:G,website,deep,evaluate,adaptive
ER4b_1_1,Trojans,P:I,I:A,O:D,Pr:R,U:S,text,shallow,Understand,none
LO2c_2,,,,,,,,,,adaptable
ER4a_2_1,Trojans,P:I,I:V,,Pr:R,,audio,deep,create,adaptable
ER4a_2_2,Trojans,P:I,I:V,O:D,Pr:A,U:S,video,deep,create,adaptable
ER4a_2_3,Trojans,P:I,I:V,O:D,Pr:R,,text,shallow,,adaptable
ER4a_2_4,Trojans,P:I,I:V,,Pr:R,,website,shallow,apply,adaptable
