tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
ER11d_1_4,How to keep up to date,P:S,I:A,O:I,Pr:R,U:G,image,general,create,adaptable
ER11e_1_1,How to keep up to date,P:I,I:A,,,,website,general,,none
ER11f_1_1,How to keep up to date,P:I,I:A,,,,website,general,,adaptive
ER11f_1_2,How to keep up to date,P:I,I:V,,Pr:A,,website,shallow,remember,adaptive
ER11f_1_3,How to keep up to date,P:I,I:V,,,U:G,video,general,evaluate,adaptive
ER11f_1_4,How to keep up to date,P:S,I:A,O:D,,,image,deep,analyze,adaptive
ER11g_1_1,How to keep up to date,P:I,I:A,,,,website,general,,adaptive
ER11g_1_2,How to keep up to date,P:S,I:A,O:D,Pr:R,,website,deep,,adaptive
ER11g_1_3,How to keep up to date,P:I,I:V,O:D,Pr:R,,website,deep,create,adaptive
ER11g_1_4,How to keep up to date,P:S,I:A,,,,image,deep,apply,adaptive
ER11g_1_5,How to keep up to date,P:S,I:A,O:I,Pr:R,U:S,website,deep,evaluate,adaptive
ER11h_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptable
ER11h_1_2,How to keep up to date,P:I,I:V,,,U:S,video,shallow,evaluate,adaptable
ER11i_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptive
ER11i_1_2,How to keep up to date,P:I,I:V,O:D,Pr:R,U:S,website,shallow,Understand,adaptive
ER11i_1_3,How to keep up to date,P:I,I:V,,,U:G,website,shallow,evaluate,adaptive
ER11j_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,none
ER11k_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptable
ER11k_1_2,How to keep up to date,P:S,I:A,O:I,Pr:R,U:S,website,deep,create,adaptable
ER11k_1_3,How to keep up to date,P:I,I:V,O:D,Pr:R,,text,general,evaluate,adaptable
ER11k_1_4,How to keep up to date,P:S,I:A,,Pr:A,U:G,audio,deep,,adaptable
ER11l_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptable
ER11l_1_2,How to keep up to date,P:I,I:V,O:I,,,website,shallow,remember,adaptable
ER11l_1_3,How to keep up to date,P:I,I:V,O:I,Pr:R,U:S,video,general,Understand,adaptable
ER11m_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,none
ER11n_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptive
ER11n_1_2,How to keep up to date,P:I,I:V,O:D,Pr:R,,audio,shallow,,adaptive
ER11n_1_3,How to keep up to date,P:I,I:V,,,U:S,image,general,remember,adaptive
ER11o_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptable
ER11o_1_2,How to keep up to date,P:I,I:V,O:D,Pr:R,U:G,website,deep,create,adaptable
ER11o_1_3,How to keep up to date,P:I,I:V,O:I,,U:S,website,shallow,analyze,adaptable
ER11p_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptable
ER11p_1_2,How to keep up to date,P:S,I:A,O:D,Pr:A,U:S,website,shallow,evaluate,adaptable
ER11p_1_3,How to keep up to date,P:I,I:V,O:D,Pr:R,U:G,text,deep,evaluate,adaptable
ER11p_1_4,How to keep up to date,P:I,I:V,O:I,Pr:R,U:G,website,deep,apply,adaptable
ER11q_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptable
ER11q_1_2,How to keep up to date,P:S,I:A,O:I,Pr:A,U:G,image,deep,evaluate,adaptable
ER11q_1_3,How to keep up to date,P:I,I:V,O:D,Pr:R,U:S,website,shallow,,adaptable
ER11q_1_4,How to keep up to date,P:I,I:V,,,U:G,website,shallow,Understand,adaptable
ER11r_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,adaptive
ER11r_1_2,How to keep up to date,P:S,I:A,O:D,Pr:R,U:S,image,shallow,analyze,adaptive
ER11r_1_3,How to keep up to date,P:I,I:V,,Pr:A,,image,shallow,,adaptive
ER11r_1_4,How to keep up to date,P:S,I:A,,Pr:R,U:G,audio,shallow,apply,adaptive
ER11s_1_1,How to keep up to date,P:I,I:A,,,,website,deep,,none
ER11t_1_1,How to keep up to date,P:I,I:A,O:I,Pr:A,U:S,text,general,Apply,adaptive
ER11t_1_2,How to keep up to date,P:I,I:V,O:I,,,image,shallow,create,adaptive
ER11t_1_3,How to keep up to date,P:S,I:A,,,U:G,image,general,create,adaptive
LO3c_2,,,,,,,,,,adaptable
ER11a_2_1,How to keep up to date,P:S,I:A,O:I,Pr:A,U:S,audio,shallow,analyze,adaptable
ER11a_2_2,How to keep up to date,P:S,I:A,,Pr:R,U:G,image,general,understand,adaptable
