file_name,bloom_level,wt_num,stem_num,lem_num,weight
Course_Outline_[EECS2311]_week_6_lab_tasks,analyze,0,1,1,1.0
Course_Outline_[EECS2311]_week_7_lab_tasks,analyze,0,1,1,1.0
Debug2311-s1-full,analyze,0,1,1,1.0
EECS_2311_Project_[EECS2311]_content,analyze,0,1,0,1.0
gitflow,analyze,0,1,0,1.0
GitInEclipse-s1-full,analyze,2,3,2,4.333333333333333
git,analyze,0,1,0,1.0
junit,analyze,1,1,1,2.0
midtermsubmission,analyze,0,1,0,1.0
projintro,analyze,0,1,1,1.0
RefactoringLecture-s1-full,analyze,2,4,3,7.0
video1070436446-s1-full,analyze,2,2,2,13.0
video1093009770-s1-full,analyze,1,2,1,7.666666666666667
video1161828255-s1-full,analyze,3,3,3,17.333333333333332
video1263128755-s1-full,analyze,1,1,1,10.333333333333334
video1592612799-s1-full,analyze,0,2,1,4.5
video1652578959-s1-full,analyze,2,2,2,20.666666666666668
video1766812555-s1-full,analyze,1,1,1,14.333333333333334
video1767379574-s1-full,analyze,1,3,1,11.333333333333334
video1860539589-s1-full,analyze,1,4,1,55.0
codecoverage,evaluate,1,1,1,6.666666666666667
Course_Outline_[EECS2311]_content,evaluate,4,5,4,19.0
Course_Outline_[EECS2311]_week_10_study_material,evaluate,2,2,2,6.333333333333333
Course_Outline_[EECS2311]_week_10_weekly_goals,evaluate,0,1,0,1.0
Course_Outline_[EECS2311]_week_11_weekly_goals,evaluate,0,1,0,1.0
Course_Outline_[EECS2311]_week_4_lab_tasks,evaluate,1,1,1,3.6666666666666665
Course_Outline_[EECS2311]_week_4_study_material,evaluate,1,2,1,1.6666666666666667
Course_Outline_[EECS2311]_week_4_weekly_goals,evaluate,1,1,1,2.0
Course_Outline_[EECS2311]_week_5_weekly_goals,evaluate,1,1,1,1.3333333333333333
Course_Outline_[EECS2311]_week_8_study_material,evaluate,2,2,2,2.0
Course_Outline_[EECS2311]_week_9_due,evaluate,0,1,0,1.0
Course_Outline_[EECS2311]_week_9_study_material,evaluate,0,1,0,2.0
Debug2311-s1-full,evaluate,1,1,1,2.0
design,evaluate,1,2,2,1.6666666666666667
EECS_2311_Project_[EECS2311]_content,evaluate,3,4,3,5.666666666666667
EECS_2311_Project_[EECS2311]_new_requirements,evaluate,3,3,3,5.333333333333333
eecs_2311_team_expectations_agreement,evaluate,1,1,1,1.0
GitInEclipse-s1-full,evaluate,1,1,1,1.0
git,evaluate,1,2,1,2.6666666666666665
junit,evaluate,1,1,1,57.666666666666664
midtermsubmission,evaluate,1,2,1,4.0
projintro,evaluate,1,3,2,7.333333333333333
video1070436446-s1-full,evaluate,2,2,2,4.0
video1093009770-s1-full,evaluate,0,1,0,1.0
video1161828255-s1-full,evaluate,1,1,1,8.0
video1263128755-s1-full,evaluate,2,2,2,2.0
video1592612799-s1-full,evaluate,0,2,0,2.0
video1652578959-s1-full,evaluate,1,2,1,7.333333333333333
video1766812555-s1-full,evaluate,1,2,1,1.3333333333333333
video1767379574-s1-full,evaluate,1,2,1,3.6666666666666665
video1860539589-s1-full,evaluate,3,5,3,6.666666666666667
codecoverage,create,0,1,0,1.0
Course_Outline_[EECS2311]_content,create,5,7,6,26.666666666666668
Course_Outline_[EECS2311]_week_10_due,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_10_lab_tasks,create,0,1,1,1.0
Course_Outline_[EECS2311]_week_10_study_material,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_10_weekly_goals,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_11_due,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_11_weekly_goals,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_2_lab_tasks,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_2_weekly_goals,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_3_lab_tasks,create,2,2,2,4.0
Course_Outline_[EECS2311]_week_3_study_material,create,1,1,1,1.3333333333333333
Course_Outline_[EECS2311]_week_3_weekly_goals,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_4_lab_tasks,create,1,1,1,1.3333333333333333
Course_Outline_[EECS2311]_week_4_study_material,create,0,1,0,1.0
Course_Outline_[EECS2311]_week_4_weekly_goals,create,0,1,0,1.0
Course_Outline_[EECS2311]_week_5_weekly_goals,create,0,1,0,1.0
Course_Outline_[EECS2311]_week_8_study_material,create,1,3,1,2.6666666666666665
Course_Outline_[EECS2311]_week_8_weekly_goals,create,3,3,3,4.0
Course_Outline_[EECS2311]_week_9_lab_tasks,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_9_study_material,create,1,1,1,1.0
Course_Outline_[EECS2311]_week_9_weekly_goals,create,1,2,1,1.3333333333333333
Debug2311-s1-full,create,1,1,1,1.3333333333333333
design,create,2,3,2,11.666666666666666
EECS_2311_Project_[EECS2311]_content,create,0,3,0,3.0
EECS_2311_Project_[EECS2311]_original_requirements,create,0,2,0,2.0
eecs_2311_team_expectations_agreement,create,0,1,0,3.0
gitflow,create,2,2,2,13.0
GitInEclipse-s1-full,create,2,3,2,5.333333333333333
git,create,1,2,1,4.333333333333333
junit,create,2,3,2,4.666666666666667
midtermsubmission,create,1,3,1,1.6666666666666667
projintro,create,5,6,5,8.666666666666666
RefactoringLecture-s1-full,create,3,4,3,32.666666666666664
video1070436446-s1-full,create,1,4,2,8.0
video1093009770-s1-full,create,1,3,1,2.3333333333333335
video1161828255-s1-full,create,2,4,2,4.0
video1263128755-s1-full,create,3,4,3,5.333333333333333
video1592612799-s1-full,create,1,2,1,3.6666666666666665
video1652578959-s1-full,create,3,4,3,18.666666666666668
video1766812555-s1-full,create,1,2,1,1.3333333333333333
video1767379574-s1-full,create,1,3,1,2.6666666666666665
video1860539589-s1-full,create,5,6,5,26.0
