,label,bow_wt,bow_stem,bow_lem
0,add,1.0,1.0,1.0
1,appropri,,1.0,
2,appropriate,1.0,,1.0
3,buildgradl,,1.0,
4,buildgradle,1.0,,1.0
5,came,1.0,1.0,1.0
6,case,,1.0,1.0
7,cases,1.0,,
8,check,1.0,1.0,1.0
9,click,1.0,1.0,1.0
10,code,3.0,3.0,3.0
11,complet,,1.0,
12,completed,1.0,,1.0
13,coverag,,3.0,
14,coverage,3.0,,3.0
15,creat,,1.0,
16,create,1.0,,1.0
17,discus,,,1.0
18,discuss,1.0,1.0,
19,featur,,1.0,
20,feature,,,1.0
21,features,1.0,,
22,file,1.0,1.0,1.0
23,final,1.0,1.0,1.0
24,focu,,1.0,
25,focus,1.0,,1.0
26,github,3.0,3.0,3.0
27,gui,3.0,3.0,3.0
28,improv,,1.0,
29,improving,1.0,,1.0
30,inform,,1.0,
31,information,1.0,,1.0
32,instructor,2.0,2.0,2.0
33,jacoco,1.0,1.0,1.0
34,javafxsampl,,1.0,
35,javafxsample,1.0,,1.0
36,lectur,,1.0,
37,lecture,1.0,,1.0
38,look,1.0,1.0,1.0
39,march,1.0,1.0,1.0
40,materi,,1.0,
41,material,1.0,,1.0
42,next,1.0,1.0,1.0
43,page,1.0,1.0,1.0
44,project,2.0,2.0,2.0
45,report,,1.0,1.0
46,reports,1.0,,
47,repositori,,3.0,
48,repository,3.0,,3.0
49,requir,,1.0,
50,required,1.0,,1.0
51,slide,,1.0,1.0
52,slides,1.0,,
53,start,2.0,2.0,2.0
54,studi,,1.0,
55,study,1.0,,1.0
56,submiss,,1.0,
57,submission,1.0,,1.0
58,system,1.0,1.0,1.0
59,take,1.0,1.0,1.0
60,test,4.0,7.0,5.0
61,testcoverag,,1.0,
62,testcoverage,1.0,,1.0
63,testfx,1.0,1.0,1.0
64,testing,2.0,,2.0
65,tests,1.0,,
66,topic,2.0,3.0,3.0
67,topics,1.0,,
68,two,1.0,1.0,1.0
69,use,1.0,1.0,1.0
70,video,5.0,5.0,5.0
71,watch,,2.0,
72,watching,2.0,,2.0
73,wednesday,1.0,1.0,1.0
74,week,3.0,3.0,3.0
75,well,1.0,1.0,1.0
76,work,1.0,1.0,1.0
