,label,bow_wt,bow_stem,bow_lem
0,also,2.0,2.0,2.0
1,avail,,1.0,
2,available,1.0,,1.0
3,basic,,1.0,1.0
4,basics,1.0,,
5,book,1.0,1.0,1.0
6,chapter,,2.0,2.0
7,chapters,2.0,,
8,commandlin,,2.0,
9,commandline,2.0,,2.0
10,complet,,2.0,
11,completed,2.0,,2.0
12,concept,,3.0,3.0
13,concepts,3.0,,
14,control,2.0,2.0,2.0
15,cours,,2.0,
16,course,2.0,,2.0
17,credenti,,1.0,
18,credential,,,1.0
19,credentials,1.0,,
20,demonstr,,1.0,
21,demonstrated,1.0,,1.0
22,describ,,1.0,
23,describes,1.0,,1.0
24,eclips,,1.0,
25,eclipse,1.0,,1.0
26,first,2.0,2.0,2.0
27,focu,,3.0,
28,focus,3.0,1.0,4.0
29,focuses,1.0,,
30,git,5.0,5.0,5.0
31,github,1.0,1.0,1.0
32,great,1.0,1.0,1.0
33,import,,1.0,
34,important,1.0,,1.0
35,introduct,,1.0,
36,introduction,1.0,,1.0
37,januari,,1.0,
38,january,1.0,,1.0
39,learn,1.0,1.0,1.0
40,lectur,,3.0,
41,lecture,3.0,,3.0
42,list,1.0,1.0,1.0
43,login,1.0,1.0,1.0
44,make,,1.0,
45,making,1.0,,1.0
46,materi,,1.0,
47,material,1.0,,1.0
48,member,,1.0,1.0
49,members,1.0,,
50,next,1.0,1.0,1.0
51,passport,1.0,1.0,1.0
52,prefer,1.0,1.0,1.0
53,pro,1.0,1.0,1.0
54,read,1.0,2.0,1.0
55,reading,1.0,,1.0
56,set,1.0,1.0,1.0
57,setup,2.0,2.0,2.0
58,slide,,2.0,2.0
59,slides,2.0,,
60,start,1.0,1.0,1.0
61,step,,1.0,1.0
62,steps,1.0,,
63,studi,,1.0,
64,study,1.0,,1.0
65,sure,1.0,1.0,1.0
66,syntax,2.0,2.0,2.0
67,target,1.0,1.0,1.0
68,team,1.0,1.0,1.0
69,three,1.0,1.0,1.0
70,use,1.0,1.0,1.0
71,version,2.0,2.0,2.0
72,video,1.0,2.0,2.0
73,videos,1.0,,
74,wednesday,1.0,1.0,1.0
75,week,2.0,2.0,2.0
76,well,1.0,1.0,1.0
77,york,1.0,1.0,1.0
