topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T6,LO1a_1,0,1,0.67,0.67,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T6,LO2a_1,0,1.2,0.79,0.66,0.6,0.55,0.92,1,1.0,1.0,0.33,0.52,1.58,1.33,1.15,0.86
T6,LO2a_2,0,1.6,1.07,0.67,0.8,0.84,1.05,1.33,1.15,0.86,0.67,0.82,1.22,1.67,2.08,1.25
T6,LO2b_1,0,0.9,0.74,0.82,0.6,0.55,0.92,1,1.0,1.0,0.33,0.52,1.58,1.33,2.31,1.74
T6,LO2c_1,0,12.2,5.63,0.46,6.8,3.03,0.45,11.33,0.58,0.05,4,2.45,0.61,11.67,8.5,0.73
T6,LO3a_1,0,3.8,1.48,0.39,2,1.0,0.5,3.33,1.53,0.46,1.33,0.52,0.39,3.67,1.53,0.42
T6,LO3b_1,0,3,1.25,0.42,1.6,0.89,0.56,2.67,3.06,1.15,1,1.55,1.55,3,3.61,1.2
T6,LO3c_1,0,2.9,1.2,0.41,1.4,0.55,0.39,2.33,0.58,0.25,0.83,1.33,1.6,2.67,1.53,0.57
T6,LO3d_1,0,12.4,5.04,0.41,6.8,2.77,0.41,11.33,5.86,0.52,3.67,1.21,0.33,11.67,8.08,0.69
T6,LO4a_1,0,1.1,0.74,0.67,0.6,0.89,1.48,1,1.0,1.0,0.33,0.52,1.58,1.33,1.53,1.15
T6,LO4a_2,0,1.2,0.92,0.77,0.6,0.55,0.92,1,1.0,1.0,0.33,0.52,1.58,1.33,2.31,1.74
T6,LO4b_1,0,3.1,1.97,0.64,1.6,0.89,0.56,2.67,0.58,0.22,1.17,1.33,1.14,3,4.36,1.45
T6,LO4c_1,0,3.3,1.49,0.45,1.8,0.84,0.47,3,2.0,0.67,1.17,0.98,0.84,3.33,2.08,0.62
T6,LO5a_1,0,0.6,0.7,1.17,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T6,LO6a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T6,LO7a_1,0,1.1,1.85,1.68,1,1.73,1.73,1.67,2.08,1.25,0.17,0.41,2.41,2,3.46,1.73
