,label,bow_wt,bow_stem,bow_lem
323,havent,1.0,1.0,1.0
324,he,,2.0,2.0
325,head,2.0,2.0,2.0
326,hear,2.0,2.0,2.0
327,heard,1.0,1.0,1.0
328,heather,1.0,1.0,1.0
329,hello,1.0,1.0,1.0
330,help,1.0,1.0,1.0
331,hes,2.0,,
332,high,2.0,2.0,2.0
333,highlight,1.0,1.0,1.0
334,histori,,8.0,
335,history,8.0,,8.0
336,hit,1.0,2.0,1.0
337,hitting,1.0,,1.0
338,hope,,1.0,
339,hopefully,1.0,,1.0
340,hour,,1.0,1.0
341,hours,1.0,,
342,hyundai,1.0,1.0,1.0
343,icon,,2.0,2.0
344,icons,2.0,,
345,ignor,,4.0,
346,ignore,2.0,,2.0
347,ignored,1.0,,1.0
348,ignoring,1.0,,1.0
349,ill,5.0,5.0,5.0
350,incap,,1.0,
351,incapable,1.0,,1.0
352,inde,,1.0,
353,indeed,1.0,,1.0
354,index,1.0,1.0,1.0
355,indic,,1.0,
356,indicate,1.0,,1.0
357,inform,,3.0,
358,information,3.0,,3.0
359,intuit,1.0,1.0,1.0
360,island,1.0,1.0,1.0
361,ive,1.0,1.0,1.0
362,java,6.0,6.0,6.0
363,job,2.0,2.0,2.0
364,kamat,,1.0,
365,kamate,1.0,,1.0
366,keep,2.0,2.0,2.0
367,kid,,1.0,1.0
368,kids,1.0,,
369,kill,1.0,1.0,1.0
370,kind,3.0,3.0,3.0
371,kiowa,,1.0,1.0
372,kiowas,1.0,,
373,know,14.0,14.0,14.0
374,lack,1.0,1.0,1.0
375,last,9.0,9.0,9.0
376,later,2.0,2.0,2.0
377,latest,1.0,1.0,1.0
378,least,2.0,2.0,2.0
379,leav,,2.0,
380,leave,2.0,,2.0
381,lectur,,1.0,
382,lecture,1.0,,1.0
383,legaci,,1.0,
384,legacy,1.0,,1.0
385,lego,1.0,1.0,1.0
386,let,2.0,6.0,6.0
387,lets,4.0,,
388,lie,,1.0,
389,like,7.0,7.0,7.0
390,line,2.0,2.0,2.0
391,listen,1.0,1.0,1.0
392,littl,,6.0,
393,little,6.0,,6.0
394,live,1.0,1.0,1.0
395,local,8.0,9.0,8.0
396,locally,1.0,,1.0
397,look,3.0,10.0,8.0
398,looking,2.0,,2.0
399,looks,5.0,,
400,lose,2.0,2.0,2.0
401,lost,1.0,1.0,1.0
402,lot,4.0,5.0,5.0
403,lots,1.0,,
404,lying,1.0,,1.0
405,made,11.0,11.0,11.0
406,magnet,1.0,1.0,1.0
407,make,7.0,10.0,7.0
408,making,3.0,,3.0
409,manag,,1.0,
410,managing,1.0,,1.0
411,master,3.0,3.0,3.0
412,mate,,1.0,1.0
413,mates,1.0,,
414,may,2.0,2.0,2.0
415,mayb,,5.0,
416,maybe,5.0,,5.0
417,mean,1.0,7.0,7.0
418,means,6.0,,
419,meat,1.0,1.0,1.0
420,mechan,,1.0,
421,mechanism,1.0,,1.0
422,medusa,1.0,1.0,1.0
423,member,,1.0,1.0
424,members,1.0,,
425,mention,1.0,1.0,1.0
426,merg,,4.0,
427,merge,2.0,,2.0
428,merged,1.0,,1.0
429,merging,1.0,,1.0
430,merit,,1.0,
431,merited,1.0,,1.0
432,messag,,3.0,
433,message,3.0,,3.0
434,method,1.0,2.0,2.0
435,methods,1.0,,
436,michael,2.0,2.0,2.0
437,might,2.0,2.0,2.0
438,mighti,,1.0,
439,mighty,1.0,,1.0
440,mile,,1.0,1.0
441,miles,1.0,,
442,mind,1.0,1.0,1.0
443,mirror,1.0,1.0,1.0
444,mistak,,1.0,
445,mistake,1.0,,1.0
446,moment,1.0,1.0,1.0
447,move,1.0,1.0,1.0
448,much,2.0,2.0,2.0
449,multipl,,1.0,
450,multiple,1.0,,1.0
451,mustard,1.0,1.0,1.0
452,mypaymentsplu,,1.0,
453,mypaymentsplus,1.0,,1.0
454,name,1.0,1.0,1.0
455,navig,,1.0,
456,navigate,1.0,,1.0
457,neck,1.0,1.0,1.0
458,need,4.0,4.0,4.0
459,never,1.0,1.0,1.0
460,new,5.0,5.0,5.0
461,newberg,1.0,1.0,1.0
462,next,5.0,5.0,5.0
463,nfl,1.0,1.0,1.0
464,nice,1.0,1.0,1.0
465,night,1.0,1.0,1.0
466,non,1.0,1.0,1.0
467,note,,1.0,1.0
468,notes,1.0,,
469,noth,,3.0,
470,nothing,3.0,,3.0
471,notic,,9.0,
472,notice,7.0,,7.0
473,noticeably,1.0,,1.0
474,noticed,1.0,,1.0
475,obvious,,1.0,
476,obviously,1.0,,1.0
477,okay,7.0,7.0,7.0
478,old,1.0,1.0,1.0
479,one,8.0,13.0,13.0
480,ones,5.0,,
481,onlin,,15.0,
482,online,15.0,,15.0
483,open,2.0,3.0,2.0
