,label,bow_wt,bow_stem,bow_lem
0,abl,,1.0,
1,able,1.0,,1.0
2,actual,,3.0,
3,actually,3.0,,3.0
4,advanc,,2.0,
5,advanced,2.0,,2.0
6,ahead,1.0,1.0,1.0
7,alarm,1.0,1.0,1.0
8,alright,6.0,6.0,6.0
9,also,2.0,2.0,2.0
10,ambit,,1.0,
11,ambition,1.0,,1.0
12,anoth,,2.0,
13,another,2.0,,2.0
14,answer,1.0,2.0,1.0
15,answered,1.0,,1.0
16,anyt,,1.0,
17,anyting,1.0,,1.0
18,anywher,,1.0,
19,anywhere,1.0,,1.0
20,aquatun,,1.0,
21,aquatune,1.0,,1.0
22,ari,,1.0,
23,aries,1.0,,1.0
24,around,2.0,2.0,2.0
25,ask,2.0,2.0,2.0
26,assum,,2.0,
27,assume,2.0,,2.0
28,avail,,1.0,
29,available,1.0,,1.0
30,back,1.0,1.0,1.0
31,base,,3.0,
32,based,3.0,,3.0
33,basic,2.0,7.0,2.0
34,basically,5.0,,5.0
35,bathroom,,1.0,1.0
36,bathrooms,1.0,,
37,begin,,1.0,
38,beginning,1.0,,1.0
39,best,2.0,2.0,2.0
40,bike,1.0,1.0,1.0
41,bit,3.0,3.0,3.0
42,board,2.0,2.0,2.0
43,boston,2.0,2.0,2.0
44,bottom,2.0,2.0,2.0
45,brazenli,,1.0,
46,brazenly,1.0,,1.0
47,breakout,2.0,2.0,2.0
48,bug,1.0,2.0,2.0
49,bugs,1.0,,
50,call,1.0,1.0,1.0
51,car,1.0,1.0,1.0
52,care,2.0,2.0,2.0
53,case,1.0,2.0,2.0
54,cases,1.0,,
55,challeng,,1.0,
56,challenge,1.0,,1.0
57,chanc,,3.0,
58,chance,3.0,,3.0
59,chat,1.0,1.0,1.0
60,chord,2.0,2.0,2.0
61,christma,,1.0,
62,christmas,1.0,,1.0
63,class,1.0,1.0,1.0
64,code,1.0,1.0,1.0
65,come,,1.0,1.0
66,comes,1.0,,
67,concern,,2.0,1.0
68,concerned,1.0,,1.0
69,concerns,1.0,,
70,convers,,1.0,
71,conversion,1.0,,1.0
72,correspond,,2.0,
73,correspondence,1.0,,2.0
74,correspondences,1.0,,
75,cours,,2.0,
76,course,2.0,,2.0
77,court,1.0,1.0,1.0
78,creat,,1.0,
79,create,1.0,,1.0
80,custom,,5.0,
81,customer,4.0,,5.0
82,customers,1.0,,
83,dam,1.0,1.0,1.0
84,damn,1.0,1.0,1.0
85,decid,,2.0,
86,decide,2.0,,2.0
87,definit,,2.0,
88,definitely,1.0,,1.0
89,definition,1.0,,1.0
90,deposit,1.0,1.0,1.0
91,descript,,1.0,
92,description,1.0,,1.0
93,design,,1.0,
94,designated,1.0,,1.0
95,die,,1.0,
96,direct,,1.0,
97,direction,1.0,,1.0
98,discus,,,1.0
99,discuss,1.0,11.0,
100,discussed,2.0,,2.0
101,discussing,2.0,,2.0
102,discussion,5.0,,6.0
103,discussions,1.0,,
104,dismal,1.0,1.0,1.0
105,dlc,1.0,1.0,1.0
106,document,,1.0,1.0
107,documents,1.0,,
108,dome,,1.0,1.0
109,domes,1.0,,
110,done,1.0,1.0,1.0
111,dont,2.0,2.0,2.0
112,duckl,,1.0,
113,duckling,1.0,,1.0
114,dying,1.0,,1.0
115,edg,,1.0,
116,edge,1.0,,1.0
117,einstok,1.0,1.0,1.0
118,either,1.0,1.0,1.0
119,els,,1.0,
120,else,1.0,,1.0
121,error,35.0,35.0,35.0
122,establish,1.0,1.0,1.0
123,even,2.0,2.0,2.0
124,everybodi,,1.0,
125,everybody,1.0,,1.0
126,everyth,,3.0,
127,everything,3.0,,3.0
128,exactli,,4.0,
129,exactly,4.0,,4.0
130,exampl,,2.0,
131,example,,,2.0
132,examples,2.0,,
133,expect,1.0,3.0,1.0
134,expectation,2.0,,2.0
135,far,1.0,1.0,1.0
136,feedback,1.0,1.0,1.0
137,feel,5.0,5.0,5.0
138,find,2.0,2.0,2.0
139,finish,1.0,2.0,1.0
140,finishing,1.0,,1.0
141,first,3.0,3.0,3.0
142,five,1.0,1.0,1.0
143,fix,1.0,1.0,1.0
144,floor,1.0,1.0,1.0
145,focu,,1.0,
146,focus,1.0,,1.0
147,formal,,1.0,
148,formality,1.0,,1.0
149,free,4.0,4.0,4.0
150,fulfil,,1.0,
151,fulfill,1.0,,1.0
152,function,,2.0,
153,functionality,2.0,,2.0
154,gave,1.0,1.0,1.0
155,get,2.0,4.0,2.0
156,getting,2.0,,2.0
157,github,1.0,1.0,1.0
158,give,1.0,2.0,1.0
159,giving,1.0,,1.0
160,go,,9.0,3.0
161,goe,,3.0,
162,goes,3.0,,
163,going,9.0,,9.0
164,good,3.0,3.0,3.0
165,guy,,4.0,4.0
166,guys,4.0,,
167,hand,1.0,1.0,1.0
168,handl,,1.0,
169,handle,1.0,,1.0
170,hard,1.0,1.0,1.0
171,hear,1.0,1.0,1.0
172,help,,1.0,
173,helpful,1.0,,1.0
174,hope,1.0,3.0,1.0
175,hopefully,2.0,,2.0
176,ill,4.0,4.0,4.0
177,import,,1.0,
178,important,1.0,,1.0
179,instruct,,1.0,
180,instruction,,,1.0
181,instructions,1.0,,
182,interest,,1.0,
183,interested,1.0,,1.0
184,internet,1.0,1.0,1.0
185,issu,,1.0,
186,issue,,,1.0
187,issues,1.0,,
188,ive,1.0,1.0,1.0
189,join,3.0,4.0,3.0
190,joining,1.0,,1.0
191,juan,1.0,1.0,1.0
192,kind,1.0,1.0,1.0
193,kitchen,1.0,1.0,1.0
194,know,5.0,5.0,5.0
195,last,1.0,1.0,1.0
196,late,1.0,1.0,1.0
197,later,3.0,3.0,3.0
198,latest,1.0,1.0,1.0
199,lectur,,1.0,
200,lecture,1.0,,1.0
201,let,2.0,2.0,2.0
202,like,4.0,4.0,4.0
203,likeliest,1.0,1.0,1.0
204,line,1.0,4.0,4.0
205,lines,3.0,,
206,link,1.0,1.0,1.0
207,littl,,3.0,
208,little,3.0,,3.0
209,locat,,3.0,
210,located,1.0,,1.0
211,location,2.0,,2.0
212,long,1.0,1.0,1.0
213,look,,1.0,1.0
214,looks,1.0,,
215,main,2.0,2.0,2.0
216,make,2.0,5.0,3.0
217,makes,1.0,,
218,making,2.0,,2.0
219,matter,1.0,1.0,1.0
220,mayb,,2.0,
221,maybe,2.0,,2.0
222,mean,4.0,6.0,6.0
223,means,2.0,,
224,measur,,1.0,
225,measure,1.0,,1.0
226,meet,,7.0,
227,meeting,3.0,,7.0
228,meetings,4.0,,
229,messag,,1.0,
230,message,1.0,,1.0
231,meter,1.0,1.0,1.0
232,minut,,5.0,
233,minute,,,5.0
234,minutes,5.0,,
235,mission,1.0,1.0,1.0
236,modder,,1.0,
237,modders,1.0,,1.0
238,monday,1.0,1.0,1.0
239,month,1.0,1.0,1.0
240,morn,,1.0,
241,morning,1.0,,1.0
242,mother,,1.0,1.0
243,mothers,1.0,,
244,much,1.0,1.0,1.0
245,music,3.0,5.0,3.0
246,musical,1.0,,2.0
247,musicals,1.0,,
248,need,2.0,2.0,2.0
249,next,1.0,1.0,1.0
250,nittygritti,,1.0,
251,nittygritty,1.0,,1.0
252,node,1.0,1.0,1.0
253,notat,,1.0,
254,notation,1.0,,1.0
255,note,4.0,7.0,7.0
256,notes,3.0,,
257,noth,,1.0,
258,nothing,1.0,,1.0
259,okay,2.0,2.0,2.0
260,one,2.0,2.0,2.0
261,open,3.0,3.0,3.0
262,oppos,,1.0,
263,opposed,1.0,,1.0
264,option,1.0,1.0,1.0
265,order,2.0,2.0,2.0
266,otherwis,,1.0,
267,otherwise,1.0,,1.0
268,page,2.0,2.0,2.0
269,park,1.0,1.0,1.0
270,part,1.0,1.0,1.0
271,pas,,,1.0
272,pass,1.0,1.0,
273,peopl,,1.0,
274,people,1.0,,1.0
275,picki,,1.0,
276,picky,1.0,,1.0
277,pictur,,1.0,
278,picture,,,1.0
279,pictures,1.0,,
280,piec,,1.0,
281,piece,1.0,,1.0
282,place,1.0,1.0,1.0
283,point,,1.0,
284,pointing,1.0,,1.0
285,possibl,,2.0,
286,possible,2.0,,2.0
287,power,1.0,1.0,1.0
288,prepar,,1.0,
289,prepare,1.0,,1.0
290,present,,1.0,
291,presenting,1.0,,1.0
292,probabl,,2.0,
293,probably,2.0,,2.0
294,programm,,1.0,
295,programmable,1.0,,1.0
296,project,3.0,3.0,3.0
297,pronounc,,1.0,
298,pronouncing,1.0,,1.0
299,put,4.0,4.0,4.0
300,qatar,1.0,1.0,1.0
301,question,9.0,17.0,17.0
302,questions,8.0,,
303,quick,1.0,1.0,1.0
304,rais,,1.0,
305,raise,1.0,,1.0
306,read,,1.0,
307,reading,1.0,,1.0
308,realli,,1.0,
309,really,1.0,,1.0
310,report,,1.0,1.0
311,reports,1.0,,
312,requir,,3.0,
313,requirement,,,3.0
314,requirements,3.0,,
315,right,12.0,12.0,12.0
316,robot,,1.0,
317,robotic,1.0,,1.0
318,roman,1.0,1.0,1.0
319,room,1.0,5.0,5.0
320,rooms,4.0,,
321,rotat,,1.0,
322,rotation,1.0,,1.0
323,row,1.0,1.0,1.0
324,san,1.0,1.0,1.0
325,santa,1.0,1.0,1.0
326,say,3.0,4.0,4.0
327,says,1.0,,
328,screen,1.0,1.0,1.0
329,second,1.0,1.0,1.0
330,see,4.0,4.0,4.0
331,send,1.0,1.0,1.0
332,sentenc,,1.0,
333,sentence,1.0,,1.0
334,sequenc,,1.0,
335,sequence,1.0,,1.0
336,session,1.0,1.0,1.0
337,set,1.0,1.0,1.0
338,slow,1.0,1.0,1.0
339,smaller,1.0,1.0,1.0
340,smiley,1.0,1.0,1.0
341,sort,1.0,1.0,1.0
342,soto,1.0,1.0,1.0
343,space,1.0,1.0,1.0
344,special,1.0,1.0,1.0
345,specif,,1.0,
346,specific,1.0,,1.0
347,standard,1.0,1.0,1.0
348,start,1.0,3.0,2.0
349,starting,1.0,,1.0
350,starts,1.0,,
351,stick,1.0,1.0,1.0
352,still,4.0,4.0,4.0
353,stop,1.0,1.0,1.0
354,stress,,1.0,
355,stressed,1.0,,1.0
356,submiss,,2.0,
357,submission,2.0,,2.0
358,summat,,1.0,
359,summation,1.0,,1.0
360,sure,3.0,3.0,3.0
361,tab,,1.0,1.0
362,tabl,,1.0,
363,table,1.0,,1.0
364,tablet,2.0,2.0,2.0
365,tabs,1.0,,
366,tag,2.0,2.0,2.0
367,take,1.0,1.0,1.0
368,talk,4.0,4.0,4.0
369,tat,1.0,1.0,1.0
370,tattoo,,1.0,1.0
371,tattoos,1.0,,
372,team,6.0,6.0,6.0
373,tell,2.0,3.0,3.0
374,tells,1.0,,
375,test,,1.0,
376,testing,1.0,,1.0
377,that,,1.0,
378,thatll,1.0,1.0,1.0
379,thats,1.0,,1.0
380,there,,4.0,4.0
381,theres,4.0,,
382,thermistor,1.0,1.0,1.0
383,theyr,,1.0,
384,theyre,1.0,,1.0
385,thing,2.0,5.0,5.0
386,things,3.0,,
387,throw,1.0,1.0,1.0
388,time,6.0,6.0,6.0
389,today,9.0,10.0,10.0
390,todays,1.0,,
391,togeth,,1.0,
392,together,1.0,,1.0
393,tomorrow,1.0,1.0,1.0
394,toronto,1.0,1.0,1.0
395,transport,,1.0,
396,transporter,1.0,,1.0
397,tri,,2.0,
398,tried,1.0,,1.0
399,try,1.0,,1.0
400,turn,,1.0,1.0
401,turns,1.0,,
402,two,2.0,2.0,2.0
403,type,,1.0,1.0
404,types,1.0,,
405,understand,1.0,1.0,1.0
406,unless,2.0,2.0,2.0
407,unmut,,1.0,
408,unmute,1.0,,1.0
409,use,1.0,1.0,1.0
410,vision,1.0,1.0,1.0
411,want,2.0,2.0,2.0
412,weather,1.0,1.0,1.0
413,wednesday,5.0,5.0,5.0
414,week,2.0,2.0,2.0
415,welcom,,2.0,
416,welcome,2.0,,2.0
417,well,3.0,3.0,3.0
418,weve,1.0,1.0,1.0
419,what,,1.0,
420,whats,1.0,,1.0
421,whatsoev,,1.0,
422,whatsoever,1.0,,1.0
423,whether,1.0,1.0,1.0
424,whole,1.0,1.0,1.0
425,within,1.0,1.0,1.0
