,label,bow_wt,bow_stem,bow_lem
0,april,4.0,4.0,4.0
1,assess,,1.0,
2,assessment,1.0,,1.0
3,class,2.0,2.0,2.0
4,complet,,2.0,
5,completed,1.0,,1.0
6,completing,1.0,,1.0
7,cours,,1.0,
8,course,1.0,,1.0
9,design,1.0,1.0,1.0
10,discuss,,2.0,
11,discussion,2.0,,2.0
12,document,,1.0,1.0
13,documents,1.0,,
14,due,3.0,3.0,3.0
15,either,1.0,1.0,1.0
16,featur,,1.0,
17,feature,,,1.0
18,features,1.0,,
19,feedback,1.0,1.0,1.0
20,follow,,1.0,
21,follows,1.0,,1.0
22,group,10.0,10.0,10.0
23,item,1.0,1.0,1.0
24,lectur,,1.0,
25,lecture,1.0,,1.0
26,link,1.0,1.0,1.0
27,meet,,2.0,
28,meeting,1.0,,2.0
29,meetings,1.0,,
30,midterm,1.0,1.0,1.0
31,monday,2.0,2.0,2.0
32,peer,1.0,1.0,1.0
33,place,2.0,2.0,2.0
34,present,1.0,1.0,1.0
35,prior,1.0,1.0,1.0
36,progress,1.0,1.0,1.0
37,project,1.0,1.0,1.0
38,receiv,,1.0,
39,received,1.0,,1.0
40,report,1.0,1.0,1.0
41,similar,1.0,1.0,1.0
42,submiss,,1.0,
43,submission,1.0,,1.0
44,take,2.0,2.0,2.0
45,toward,,1.0,
46,towards,1.0,,1.0
47,use,,1.0,
48,using,1.0,,1.0
49,usual,2.0,2.0,2.0
50,wednesday,4.0,4.0,4.0
51,week,3.0,3.0,3.0
52,whole,2.0,2.0,2.0
53,work,,1.0,
54,working,1.0,,1.0
55,zoom,1.0,1.0,1.0
