file_name,bloom_level,wt_num,stem_num,lem_num,weight,variance
projintro,apply,2,5,2,8.666666666666666,1.0009241292056235
RefactoringLecture-s1-full,apply,4,4,4,16.0,0.5330017908890261
TestCoverage-s1-full,apply,3,4,3,13.333333333333334,0.9574271077563381
TestFX-s1-full,apply,3,3,3,12.0,1.0383279828647594
video1070436446-s1-full,apply,2,4,2,4.333333333333333,0.6527139518645053
video1093009770-s1-full,apply,2,2,2,3.0,0.8164965809277259
video1161828255-s1-full,apply,2,2,2,6.0,0.6666666666666666
video1263128755-s1-full,apply,4,4,4,13.0,0.8206584952268867
video1592612799-s1-full,apply,2,2,2,2.3333333333333335,0.34992710611188255
video1652578959-s1-full,apply,2,4,2,11.0,0.9905760855386029
video1766812555-s1-full,apply,3,3,3,6.333333333333333,1.5789473684210527
video1767379574-s1-full,apply,2,4,2,4.0,0.5039526306789696
video1860539589-s1-full,apply,6,8,6,49.333333333333336,1.8484132181864195
video2621708691-s1-full,apply,4,5,4,43.333333333333336,1.4617341299520465
Course_Outline_[EECS2311]_content,analyze,1,2,2,7.0,0.2608202654786505
Course_Outline_[EECS2311]_week_11_lab_tasks,analyze,0,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_1_due,analyze,0,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_1_weekly_goals,analyze,0,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_3_lab_tasks,analyze,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_3_study_material,analyze,1,1,1,1.3333333333333333,0.4330127018922193
Course_Outline_[EECS2311]_week_3_weekly_goals,analyze,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_6_lab_tasks,analyze,0,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_7_lab_tasks,analyze,0,1,1,1.0,0.0
Debug2311-s1-full,analyze,0,1,1,1.0,0.0
EECS_2311_Project_[EECS2311]_content,analyze,0,1,0,1.0,
gitflow,analyze,0,1,0,1.0,
GitInEclipse-s1-full,analyze,2,3,2,4.333333333333333,0.7882269819968922
git,analyze,0,1,0,1.0,
junit,analyze,1,1,1,2.0,0.0
midtermsubmission,analyze,0,1,0,1.0,
projintro,analyze,0,1,1,1.0,0.0
RefactoringLecture-s1-full,analyze,2,4,3,7.0,0.7107053122190142
video1070436446-s1-full,analyze,2,2,2,13.0,1.0558375345706763
video1093009770-s1-full,analyze,1,2,1,7.666666666666667,0.6565073421974565
video1161828255-s1-full,analyze,3,3,3,17.333333333333332,1.1635410017364638
video1263128755-s1-full,analyze,1,1,1,10.333333333333334,0.44698085356616185
video1592612799-s1-full,analyze,0,2,1,4.5,0.5773502691896257
video1652578959-s1-full,analyze,2,2,2,20.666666666666668,0.7462706446927098
video1766812555-s1-full,analyze,1,1,1,14.333333333333334,0.32224201071048875
video1767379574-s1-full,analyze,1,3,1,11.333333333333334,0.7739821980553393
video1860539589-s1-full,analyze,1,4,1,55.0,1.1644883244804303
video2621708691-s1-full,analyze,1,5,2,23.666666666666668,1.2768276214520653
codecoverage,evaluate,1,1,1,6.666666666666667,0.692820323027551
Course_Outline_[EECS2311]_content,evaluate,4,5,4,19.0,1.4440596594288406
Course_Outline_[EECS2311]_week_10_study_material,evaluate,2,2,2,6.333333333333333,0.8092265723697925
Course_Outline_[EECS2311]_week_10_weekly_goals,evaluate,0,1,0,1.0,
Course_Outline_[EECS2311]_week_11_weekly_goals,evaluate,0,1,0,1.0,
Course_Outline_[EECS2311]_week_4_lab_tasks,evaluate,1,1,1,3.6666666666666665,0.15745916432444343
Course_Outline_[EECS2311]_week_4_study_material,evaluate,1,2,1,1.6666666666666667,0.4
Course_Outline_[EECS2311]_week_4_weekly_goals,evaluate,1,1,1,2.0,0.5
Course_Outline_[EECS2311]_week_5_weekly_goals,evaluate,1,1,1,1.3333333333333333,0.4330127018922193
Course_Outline_[EECS2311]_week_8_study_material,evaluate,2,2,2,2.0,0.0
Course_Outline_[EECS2311]_week_9_due,evaluate,0,1,0,1.0,
Course_Outline_[EECS2311]_week_9_study_material,evaluate,0,1,0,2.0,
