topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T7,LO1a_1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
T7,LO2a_1,0,0.33,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.67,0,0.33,0.33,0,0.33,0,0.33,0.67,0,0,0.67,0.33,0,0,0,0,0.67,0.33
T7,LO2b_1,0,0.25,0.75,0.25,0.75,0.25,0.25,0.25,0.25,0.5,0,0.5,0,0.25,0.25,0,0.25,0.75,0,0,0.25,0,0,0.25,0,0,0,1
T7,LO2c_1,0,0.4,0.6,0.5,0.5,0.3,0.5,0.3,0.4,0.5,0.2,0.5,0.1,0.4,0,0,0.4,0.5,0.1,0.1,0.3,0.2,0,0.2,0.1,0,0.9,0.1
T7,LO3a_1,0,0.56,0.44,0.33,0.67,0.33,0.33,0.44,0.33,0.44,0.33,0.22,0,0.44,0.11,0.22,0.22,0.44,0.33,0.11,0.33,0,0,0.33,0.11,0.44,0.44,0.11
T7,LO3b_1,0,0.33,0.67,0.67,0.33,0,0.67,0,0.67,0.33,0,0.33,0,0.33,0.33,0,0.33,0.33,0.33,0,0.33,0,0,0,0.33,0,0.67,0.33
T7,LO3c_1,0,0.67,0.33,0.33,0.67,0.17,0.33,0.5,0.17,0.33,0.33,0.33,0.17,0.17,0.17,0.17,0.33,0.5,0.17,0.17,0.33,0,0,0,0,1,0,0
T7,LO3d_1,0,0.6,0.4,0.4,0.6,0,0.2,0,0.4,0.4,0.2,0.4,0,0.2,0,0.4,0.2,0.6,0.2,0,0.4,0.2,0,0,0.2,1,0,0
T7,LO3e_1,0,0.1,0.9,0.9,0.1,0.5,0.3,0.2,0.6,0.3,0.3,0.3,0.1,0.2,0.2,0.2,0.3,0.2,0.5,0.2,0.1,0,0.4,0.1,0,0,1,0
T7,LO3f_1,0,0.7,0.3,0.2,0.8,0.4,0.3,0.2,0.4,0.1,0.3,0.3,0.2,0.3,0.1,0.1,0.4,0.3,0.3,0.1,0.4,0.1,0,0.1,0,0.7,0.3,0
T7,LO3g_1,0,0.44,0.56,0.33,0.67,0.33,0.22,0.11,0.78,0.33,0.44,0.22,0.22,0.22,0.11,0.22,0.11,0.56,0.33,0.11,0.33,0.22,0,0.22,0,1,0,0
T7,LO3h_1,0,0.38,0.62,0.5,0.5,0.25,0.25,0,0.31,0.44,0.25,0.19,0.25,0.12,0.31,0.12,0.38,0.25,0.38,0,0.31,0.19,0,0.19,0.12,0.69,0.31,0
T7,LO3i_1,0,0.4,0.6,0.5,0.5,0.2,0.3,0.2,0.4,0.5,0.2,0.2,0.2,0.3,0.2,0.1,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0,0,0.5,0.5,0
T7,LO4a_1,0,0.55,0.45,0.36,0.64,0.18,0.27,0,0.55,0.45,0.18,0.18,0.09,0.27,0.36,0.09,0.27,0.55,0.18,0,0.36,0,0.09,0,0.18,0.36,0.64,0
T7,LO4b_1,0,0.33,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0,0.67,0,0.33,0,0,0.33,0.67,0,0,0.33,0,0,0.33,0.33,0.67,0,0.33
T7,LO4c_1,0,0.22,0.78,0.44,0.56,0.11,0.22,0,0.67,0.33,0.22,0.33,0,0.11,0.33,0.22,0.22,0.44,0.33,0.22,0.22,0.11,0,0.11,0,0.22,0.78,0
T7,LO4d_1,0,0.62,0.38,0.15,0.85,0.38,0.31,0.15,0.23,0.38,0.23,0.31,0.23,0,0.23,0.23,0.31,0.38,0.31,0.08,0.15,0.08,0.23,0.08,0.23,0,1,0
T7,LO4e_1,0,0.14,0.86,0.57,0.43,0.29,0.43,0.14,0.57,0.43,0.14,0.29,0.29,0.14,0.14,0.14,0,0.43,0.57,0.14,0.29,0.14,0,0,0.29,0.71,0.29,0
T7,LO4f_1,0,0.33,0.67,0.33,0.67,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0,0.67,0,0,0,0.67,0.33,0,0.33,0.67,0,0.33,0,1,0,0
T7,LO4g_1,0,0.4,0.6,0.6,0.4,0.6,0.2,0.4,0.4,0.4,0,0.2,0,0.2,0,0.6,0.4,0.4,0.2,0,0.6,0,0.2,0,0,0.4,0.6,0
T7,LO4h_1,0,0.42,0.58,0.5,0.5,0.33,0.25,0.42,0.25,0.25,0.42,0.25,0.17,0.25,0.17,0.17,0.33,0.33,0.33,0.08,0.08,0.33,0.17,0.08,0.08,0.42,0.58,0
T7,LO4i_1,0,0.75,0.25,0.25,0.75,0.25,0.5,0,0.75,0.5,0.25,0.5,0,0.25,0.25,0,0.25,0.5,0.25,0,0.25,0.25,0,0,0.25,0,0.75,0.25
T7,LO4j_1,0,0.25,0.75,0.75,0.25,0.12,0.5,0.25,0.38,0.25,0.25,0.12,0,0.25,0.5,0.12,0.38,0.5,0.12,0,0.25,0.12,0,0,0.25,0,1,0
T7,LO4k_1,0,0.36,0.64,0.55,0.45,0.27,0.45,0,0.36,0.55,0.18,0.55,0.09,0.18,0.09,0.09,0.36,0.55,0.09,0.09,0.36,0.18,0.09,0.09,0.09,0.27,0.73,0
T7,LO4l_1,0,0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0,0.33,0,0.33,0.33,0.33,0.33,0,0.33,0,0,0,0,0.67,0,0.33
T7,LO5a_1,0,0.5,0.5,0.5,0.5,0,0,0,1,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,1
T7,LO6a_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,1
T7,LO7a_1,0,0,1,0,1,0,0,0,0.33,0,0,0.33,0,0,0.67,0,0.33,0,0.67,0,0.33,0,0,0,0,0,0,1
T7,LO8a_1,0,0,1,0,1,0,0,0,0.33,0,0,0.33,0,0,0.67,0,0.33,0,0.67,0,0.33,0,0,0,0,0,0,1
