topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T7,LO1a_1,ER1a_1_1,0.3,0.48,1.6,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO1a_1,ER1b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2a_1,ER2a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2a_1,ER2a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2a_1,ER2b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2b_1,ER3a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO2b_1,ER3b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2b_1,ER3c_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2b_1,ER3d_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO2c_1,ER4a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO2c_1,ER4a_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2c_1,ER4a_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2c_1,ER4a_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO2c_1,ER4a_1_5,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2c_1,ER4b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.33,0.52,1.58,0.33,0.58,1.76
T7,LO2c_1,ER4c_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2c_1,ER4c_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2c_1,ER4c_1_3,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO2c_1,ER4c_1_4,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3a_1,ER5a_1_1,0.2,0.42,2.1,0.2,0.45,2.25,0.33,0.58,1.76,0,0.0,N/A,0.33,0.58,1.76
T7,LO3a_1,ER5b_1_1,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3a_1,ER5b_1_2,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
T7,LO3a_1,ER5b_1_3,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.33,0.58,1.76
