topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T3,LO1a_1,0,0.8,0.42,0.52,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T3,LO2a_1,0,3.6,2.07,0.57,2,1.0,0.5,3.33,0.58,0.17,1.17,0.98,0.84,3.67,5.51,1.5
T3,LO2a_2,0,2.1,0.99,0.47,1,0.71,0.71,1.67,1.15,0.69,0.67,0.82,1.22,2,1.73,0.86
T3,LO2b_1,0,1.9,1.45,0.76,1,1.41,1.41,1.67,0.58,0.35,0.67,0.82,1.22,2,2.0,1.0
T3,LO2b_2,0,0.5,0.53,1.06,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.67,0.58,0.87
T3,LO2c_1,0,2.3,1.06,0.46,1.2,1.1,0.92,2,1.0,0.5,0.67,1.03,1.54,2.33,2.31,0.99
T3,LO2c_2,0,2.5,2.22,0.89,1.2,0.45,0.38,2,1.73,0.86,0.67,0.82,1.22,2.33,4.04,1.73
T3,LO2d_1,0,3.9,1.73,0.44,2.2,1.48,0.67,3.67,2.08,0.57,0.67,1.21,1.81,4,2.0,0.5
T3,LO3a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.52,1.58,1,1.73,1.73
T3,LO3b_1,0,0.9,0.99,1.1,0.6,0.55,0.92,1,1.0,1.0,0.17,0.41,2.41,1.33,2.31,1.74
T3,LO3c_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T3,LO3d_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T3,LO3e_1,0,1.3,1.16,0.89,0.8,0.84,1.05,1.33,1.53,1.15,0.33,0.52,1.58,1.67,2.89,1.73
T3,LO3f_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T3,LO3g_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T3,LO3h_1,0,0.8,0.42,0.52,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T3,LO3i_1,0,0.7,0.67,0.96,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T3,LO4a_1,0,4.4,2.27,0.52,2.4,0.89,0.37,4,1.73,0.43,1,0.89,0.89,4.33,5.86,1.35
T3,LO4b_1,0,2.3,1.77,0.77,1.4,0.89,0.64,2.33,1.53,0.66,0.5,0.55,1.1,2.67,2.52,0.94
T3,LO4c_1,0,5.6,2.63,0.47,3.2,1.3,0.41,5.33,4.04,0.76,1.83,1.47,0.8,5.67,5.69,1.0
T3,LO4d_1,0,3.8,1.14,0.3,1.8,1.48,0.82,3,1.0,0.33,1.5,1.05,0.7,3.33,2.08,0.62
T3,LO4e_1,0,2.1,0.88,0.42,1,1.0,1.0,1.67,0.58,0.35,0.67,1.21,1.81,2,1.0,0.5
T3,LO4f_1,0,3.8,1.03,0.27,1.8,1.64,0.91,3,2.0,0.67,1.33,1.37,1.03,3.33,4.93,1.48
T3,LO5a_1,0,0.6,0.97,1.62,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T3,LO6a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T3,LO7a_1,0,0.4,0.84,2.1,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T3,LO8a_1,0,0.6,1.26,2.1,0.6,0.89,1.48,1,1.0,1.0,0.17,0.41,2.41,1.33,2.31,1.74
