topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T3,LO1a_1,0,0.71,0.71,0.71,0.71,0.71,0.71,0.0,0.71,0.71,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,LO2a_1,0,0.53,0.53,0.53,0.53,0.32,0.42,0.42,0.48,0.48,0.32,0.32,0.42,0.48,0.32,0.48,0.48,0.48,0.52,0.32,0.32,0.32,0.48,0.0,0.32,0.0,0.0,0.0
T3,LO2a_2,0,0.55,0.55,0.55,0.55,0.55,0.0,0.55,0.45,0.55,0.55,0.45,0.55,0.0,0.45,0.45,0.45,0.45,0.55,0.0,0.55,0.0,0.45,0.45,0.0,0.45,0.0,0.45
T3,LO2b_1,0,0.55,0.55,0.55,0.55,0.0,0.55,0.0,0.45,0.55,0.0,0.55,0.0,0.55,0.0,0.0,0.55,0.45,0.55,0.0,0.45,0.45,0.55,0.0,0.0,0.55,0.55,0.0
T3,LO2b_2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
T3,LO2c_1,0,0.52,0.52,0.52,0.52,0.55,0.52,0.52,0.41,0.52,0.41,0.55,0.0,0.41,0.41,0.41,0.55,0.41,0.52,0.0,0.52,0.0,0.0,0.52,0.0,0.41,0.0,0.41
T3,LO2c_2,0,0.0,0.0,0.0,0.0,0.41,0.55,0.52,0.52,0.52,0.41,0.52,0.41,0.41,0.41,0.41,0.55,0.0,0.55,0.0,0.41,0.41,0.0,0.0,0.52,0.0,0.0,0.0
T3,LO2d_1,0,0.5,0.5,0.52,0.52,0.4,0.5,0.4,0.47,0.5,0.4,0.5,0.0,0.4,0.47,0.4,0.52,0.4,0.47,0.0,0.47,0.3,0.0,0.0,0.0,0.52,0.5,0.3
T3,LO3a_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0
T3,LO3b_1,0,0.0,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.58,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,LO3c_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T3,LO3d_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
