topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T2,LO1a_1,0,0.7,0.67,0.96,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.52,1.58,1,1.73,1.73
T2,LO2a_1,0,2.9,1.45,0.5,1.6,1.34,0.84,2.67,0.58,0.22,1,0.63,0.63,3,2.0,0.67
T2,LO2b_1,0,3.2,1.32,0.41,1.6,2.07,1.29,2.67,2.08,0.78,1,0.63,0.63,3,2.65,0.88
T2,LO2c_1,0,2.3,1.25,0.54,1.2,1.64,1.37,2,1.0,0.5,0.83,1.33,1.6,2.33,2.52,1.08
T2,LO2d_1,0,1.1,0.57,0.52,0.6,0.89,1.48,1,1.0,1.0,0.5,0.55,1.1,1.33,1.15,0.86
T2,LO3a_1,0,2,1.33,0.67,1.2,0.84,0.7,2,1.0,0.5,0.83,1.17,1.41,2.33,1.53,0.66
T2,LO3b_1,0,2.8,1.32,0.47,1.4,0.89,0.64,2.33,0.58,0.25,1.33,1.03,0.77,2.67,3.79,1.42
T2,LO3c_1,0,2.4,1.26,0.53,1.4,1.52,1.09,2.33,2.31,0.99,0.33,0.52,1.58,2.67,2.08,0.78
T2,LO3d_1,0,2.7,1.34,0.5,1.4,0.55,0.39,2.33,1.53,0.66,0.83,0.75,0.9,2.67,2.52,0.94
T2,LO3d_2,0,3.6,1.58,0.44,1.8,1.64,0.91,3,1.0,0.33,1.5,0.84,0.56,3.33,5.77,1.73
T2,LO3e_1,0,9,4.78,0.53,5.2,3.9,0.75,8.67,2.52,0.29,2.67,2.94,1.1,9,6.24,0.69
T2,LO3f_1,0,3,1.49,0.5,1.8,1.64,0.91,3,1.0,0.33,1.17,1.47,1.26,3.33,3.21,0.96
T2,LO4a_1,0,1.2,0.79,0.66,0.8,0.84,1.05,1.33,0.58,0.44,0.5,0.84,1.68,1.67,0.58,0.35
T2,LO4b_1,0,0.7,0.67,0.96,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T2,LO4c_1,0,1.9,0.74,0.39,1,1.0,1.0,1.67,1.15,0.69,0.67,0.52,0.78,2,3.46,1.73
T2,LO4c_2,0,1.3,1.16,0.89,0.8,0.45,0.56,1.33,1.15,0.86,0.5,0.84,1.68,1.67,2.08,1.25
T2,LO4d_1,0,2.4,1.78,0.74,1.2,0.45,0.38,2,1.0,0.5,0.83,0.75,0.9,2.33,1.53,0.66
T2,LO4e_1,0,1.7,1.25,0.74,0.8,0.84,1.05,1.33,0.58,0.44,0.5,0.84,1.68,1.67,1.53,0.92
T2,LO4e_2,0,0.4,0.52,1.3,0.2,0.45,2.25,0.33,0.58,1.76,0.17,0.41,2.41,0.67,0.58,0.87
T2,LO4f_1,0,3.3,2.16,0.65,1.6,1.82,1.14,2.67,1.15,0.43,1.33,1.51,1.14,3,3.0,1.0
T2,LO4f_2,0,2.4,1.17,0.49,1.2,1.1,0.92,2,1.0,0.5,0.67,0.82,1.22,2.33,4.04,1.73
T2,LO5a_1,0,0.5,0.85,1.7,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T2,LO6a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T2,LO7a_1,0,0.6,1.26,2.1,0.6,0.89,1.48,1,0.0,0.0,0.17,0.41,2.41,1.33,2.31,1.74
