topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T2,LO1a_1,0,0.0,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T2,LO2a_1,0,0.52,0.52,0.52,0.52,0.52,0.35,0.46,0.53,0.35,0.46,0.52,0.35,0.52,0.35,0.0,0.52,0.52,0.46,0.35,0.46,0.35,0.35,0.0,0.35,0.52,0.52,0.0
T2,LO2b_1,0,0.52,0.52,0.46,0.46,0.52,0.52,0.52,0.46,0.46,0.52,0.52,0.35,0.0,0.46,0.0,0.46,0.52,0.35,0.0,0.46,0.35,0.35,0.35,0.35,0.46,0.46,0.0
T2,LO2c_1,0,0.55,0.55,0.55,0.55,0.41,0.41,0.0,0.52,0.55,0.52,0.41,0.0,0.41,0.52,0.0,0.55,0.52,0.41,0.0,0.55,0.0,0.0,0.52,0.0,0.41,0.0,0.41
T2,LO2d_1,0,0.58,0.58,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.0,0.58,0.0,0.58,0.0,0.58,0.58,0.58,0.0,0.0,0.58,0.0,0.58
T2,LO3a_1,0,0.52,0.52,0.52,0.52,0.0,0.41,0.41,0.55,0.52,0.41,0.41,0.41,0.52,0.0,0.52,0.55,0.41,0.52,0.0,0.55,0.0,0.41,0.41,0.0,0.52,0.52,0.0
T2,LO3b_1,0,0.49,0.49,0.53,0.53,0.49,0.53,0.53,0.38,0.38,0.53,0.53,0.38,0.38,0.38,0.38,0.49,0.49,0.53,0.38,0.53,0.49,0.0,0.38,0.38,0.0,0.0,0.0
T2,LO3c_1,0,0.53,0.53,0.53,0.53,0.53,0.0,0.49,0.49,0.49,0.38,0.53,0.0,0.38,0.38,0.38,0.49,0.38,0.38,0.0,0.38,0.0,0.38,0.0,0.0,0.49,0.49,0.0
T2,LO3d_1,0,0.49,0.49,0.53,0.53,0.49,0.53,0.38,0.53,0.38,0.49,0.49,0.38,0.38,0.38,0.49,0.38,0.53,0.49,0.49,0.38,0.0,0.38,0.38,0.0,0.53,0.53,0.0
T2,LO3d_2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.33,0.53,0.5,0.5,0.33,0.53,0.0,0.33,0.5,0.44,0.53,0.33,0.44,0.44,0.44,0.44,0.0,0.0,0.0,0.0
T2,LO3e_1,0,0.45,0.45,0.51,0.51,0.45,0.45,0.27,0.47,0.47,0.43,0.45,0.37,0.33,0.5,0.2,0.5,0.43,0.49,0.0,0.47,0.2,0.2,0.37,0.27,0.51,0.5,0.2
T2,LO3f_1,0,0.53,0.53,0.53,0.53,0.33,0.44,0.5,0.5,0.33,0.44,0.5,0.0,0.33,0.53,0.33,0.44,0.5,0.53,0.0,0.5,0.0,0.33,0.5,0.0,0.44,0.44,0.0
