topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T1,LO1a_1,0,0,3,1,2,0,3,0,3,3,0,1,1,0,1,0,3,0,0,0,3,0,0,0,0,0,0,3
T1,LO2a_1,0,0,2,1,1,2,0,0,2,2,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,3
T1,LO2b_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,2,0,1,0,0,0,0,3
T1,LO2c_1,0,3,0,1,2,0,2,0,2,2,0,2,0,1,0,0,1,1,1,0,2,0,1,0,0,0,0,4
T1,LO2d_1,0,1,4,1,4,1,1,1,1,2,0,1,1,0,3,0,2,3,0,0,1,0,2,0,0,0,0,6
T1,LO2e_1,0,2,4,1,5,1,1,1,1,1,1,2,0,1,3,0,2,4,0,0,3,1,1,0,0,0,0,7
T1,LO2f_1,0,1,2,1,2,0,2,1,0,2,0,2,0,1,0,0,2,1,0,0,1,1,0,0,1,0,0,4
T1,LO2g_1,0,1,2,1,2,0,1,0,1,1,0,1,0,1,1,0,3,0,0,0,1,2,0,0,0,0,0,4
T1,LO3a_1,0,4,5,5,4,3,4,0,3,3,3,2,3,2,2,0,3,0,6,1,3,2,0,2,0,9,0,1
T1,LO3b_1,0,1,1,1,1,1,1,0,2,2,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,2
T1,LO3b_2,0,2,1,1,2,3,0,1,2,1,2,0,0,0,2,1,1,1,1,0,0,0,1,0,2,0,3,1
T1,LO3c_1,0,20,44,26,38,14,18,10,22,15,16,9,6,11,32,6,20,16,28,5,5,6,8,8,10,27,34,4
T1,LO3c_2,0,21,20,20,21,14,16,20,13,17,7,10,9,8,3,11,14,15,12,7,6,6,4,4,5,20,20,2
T1,LO3d_1,0,2,1,1,2,0,1,0,1,1,0,1,0,1,1,0,3,0,0,0,1,1,0,0,0,0,0,4
T1,LO4a_1,0,3,9,9,3,3,5,2,7,6,1,2,2,4,3,1,6,4,2,1,4,4,1,1,0,7,5,1
T1,LO4b_1,0,9,7,6,10,5,4,6,6,3,4,6,1,3,4,2,4,7,5,3,2,3,1,3,2,15,0,2
T1,LO5a_1,0,0,2,0,2,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,3
T1,LO6a_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,3
T1,LO7a_1,0,0,7,0,7,0,0,0,0,0,0,1,0,0,6,0,1,0,6,0,1,0,0,0,0,0,0,8
T1,LO8a_1,0,0,9,0,9,0,0,0,0,0,0,1,0,0,8,0,1,0,8,0,1,0,0,0,0,0,0,10
