topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T1,LO1a_1,0,1.5,1.43,0.95,0.6,0.55,0.92,1,1.73,1.73,0.5,1.22,2.44,1,1.73,1.73
T1,LO2a_1,0,1,0.94,0.94,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.82,2.48,1,1.73,1.73
T1,LO2b_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.5,0.84,1.68,1,1.73,1.73
T1,LO2c_1,0,1.2,1.14,0.95,0.6,0.89,1.48,1,0.0,0.0,0.5,0.84,1.68,1.33,2.31,1.74
T1,LO2d_1,0,1.6,1.35,0.84,1,1.22,1.22,1.67,1.53,0.92,0.5,0.84,1.68,2,3.46,1.73
T1,LO2e_1,0,1.8,1.48,0.82,1.2,1.3,1.08,2,2.0,1.0,0.83,1.17,1.41,2.33,4.04,1.73
T1,LO2f_1,0,1.1,0.88,0.8,0.6,0.89,1.48,1,1.0,1.0,0.5,0.55,1.1,1.33,2.31,1.74
T1,LO2g_1,0,0.9,0.74,0.82,0.6,0.55,0.92,1,1.73,1.73,0.5,0.84,1.68,1.33,2.31,1.74
T1,LO3a_1,0,3.4,1.43,0.42,1.8,1.1,0.61,3,3.0,1.0,1.33,1.21,0.91,3.33,4.93,1.48
T1,LO3b_1,0,1,0.67,0.67,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.82,2.48,1,1.0,1.0
T1,LO3b_2,0,1.5,0.85,0.57,0.6,0.89,1.48,1,0.0,0.0,0.5,0.84,1.68,1.33,1.53,1.15
T1,LO3c_1,0,22.3,10.89,0.49,12.8,10.94,0.85,21.33,6.11,0.29,7,2.0,0.29,21.67,15.7,0.72
T1,LO3c_2,0,16.9,4.53,0.27,8.2,3.11,0.38,13.67,1.53,0.11,5.33,1.21,0.23,14,10.39,0.74
T1,LO3d_1,0,0.9,0.74,0.82,0.6,0.55,0.92,1,1.73,1.73,0.33,0.52,1.58,1.33,2.31,1.74
T1,LO4a_1,0,4.8,2.86,0.6,2.4,1.14,0.47,4,2.0,0.5,1.83,1.72,0.94,4.33,3.06,0.71
T1,LO4b_1,0,6,2.21,0.37,3.2,1.92,0.6,5.33,1.53,0.29,2.33,0.82,0.35,5.67,8.14,1.44
T1,LO5a_1,0,0.5,0.85,1.7,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T1,LO6a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T1,LO7a_1,0,1.4,2.95,2.11,1.4,2.61,1.86,2.33,3.21,1.38,0.17,0.41,2.41,2.67,4.62,1.73
T1,LO8a_1,0,1.8,3.79,2.11,1.8,3.49,1.94,3,4.36,1.45,0.17,0.41,2.41,3.33,5.77,1.73
