topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T1,LO1a_1,0,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,LO2a_1,0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,LO2b_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0
T1,LO2c_1,0,0.0,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.0,0.0,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.0,0.0,0.0,0.0,0.0
T1,LO2d_1,0,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.55,0.0,0.45,0.45,0.0,0.55,0.0,0.55,0.55,0.0,0.0,0.45,0.0,0.55,0.0,0.0,0.0,0.0,0.0
T1,LO2e_1,0,0.52,0.52,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.52,0.0,0.41,0.55,0.0,0.52,0.52,0.0,0.0,0.55,0.41,0.41,0.0,0.0,0.0,0.0,0.0
T1,LO2f_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.0,0.58,0.0,0.0,0.58,0.58,0.0,0.0,0.58,0.58,0.0,0.0,0.58,0.0,0.0,0.0
T1,LO2g_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0
T1,LO3a_1,0,0.53,0.53,0.53,0.53,0.5,0.53,0.0,0.5,0.5,0.5,0.44,0.5,0.44,0.44,0.0,0.5,0.0,0.5,0.33,0.5,0.44,0.0,0.44,0.0,0.0,0.0,0.0
T1,LO3b_1,0,0.71,0.71,0.71,0.71,0.71,0.71,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,LO3b_2,0,0.58,0.58,0.58,0.58,0.0,0.0,0.58,0.58,0.58,0.58,0.0,0.0,0.0,0.58,0.58,0.58,0.58,0.58,0.0,0.0,0.0,0.58,0.0,0.58,0.0,0.58,0.58
T1,LO3c_1,0,0.47,0.47,0.5,0.5,0.42,0.45,0.37,0.48,0.43,0.44,0.35,0.29,0.38,0.5,0.29,0.47,0.44,0.5,0.27,0.27,0.29,0.33,0.33,0.37,0.5,0.5,0.24
T1,LO3c_2,0,0.51,0.51,0.51,0.51,0.48,0.49,0.51,0.47,0.5,0.38,0.43,0.42,0.4,0.26,0.45,0.48,0.49,0.46,0.38,0.36,0.36,0.3,0.3,0.33,0.51,0.5,0.22
T1,LO3d_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0
T1,LO4a_1,0,0.45,0.45,0.45,0.45,0.45,0.51,0.39,0.51,0.52,0.29,0.39,0.39,0.49,0.45,0.29,0.52,0.49,0.39,0.29,0.49,0.49,0.29,0.29,0.0,0.51,0.51,0.0
T1,LO4b_1,0,0.51,0.51,0.5,0.5,0.48,0.45,0.5,0.5,0.4,0.45,0.5,0.25,0.4,0.45,0.34,0.45,0.51,0.48,0.4,0.34,0.4,0.25,0.4,0.34,0.25,0.0,0.25
T1,LO5a_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.71,0.0,0.0,0.71,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.0,0.0,0.0
T1,LO6a_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.0,0.71,0.0,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,LO7a_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.38,0.0,0.38,0.0,0.38,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T1,LO8a_1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
