label,bow_wt,bow_stem,bow_lem
appli,,1.0,
apply,1.0,,1.0
attribut,,1.0,
attribute,,,1.0
creat,,2.0,
create,1.0,,1.0
defin,,1.0,
execut,,12.0,
execute,2.0,,2.0
select,2.0,2.0,2.0
understand,1.0,1.0,1.0
use,6.0,11.0,6.0
