label,bow_wt,bow_stem,bow_lem
appli,,1.0,
apply,1.0,,1.0
creat,,3.0,
create,1.0,,1.0
develop,5.0,27.0,5.0
discuss,,2.0,
evalu,,1.0,
gener,,1.0,
implement,,2.0,
organ,,5.0,
organize,4.0,,4.0
question,9.0,20.0,20.0
recogn,,1.0,
recognize,1.0,,1.0
summar,,1.0,
test,5.0,11.0,5.0
understand,3.0,3.0,3.0
use,7.0,12.0,7.0
