label,bow_wt,bow_stem,bow_lem
check,1.0,1.0,1.0
creat,,1.0,
create,1.0,,1.0
discus,,,1.0
discuss,1.0,1.0,
test,4.0,7.0,5.0
use,1.0,1.0,1.0
