label,bow_wt,bow_stem,bow_lem
appli,,2.0,
apply,2.0,,2.0
design,,3.0,
discus,,,2.0
discuss,2.0,3.0,
list,9.0,10.0,9.0
test,1.0,1.0,1.0
understand,,1.0,
use,6.0,7.0,6.0
