label,bow_wt,bow_stem,bow_lem
creat,,3.0,
create,1.0,,1.0
design,9.0,9.0,9.0
develop,,3.0,
list,1.0,1.0,1.0
select,1.0,1.0,1.0
support,,1.0,1.0
use,,2.0,
