topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T8,LO1a_1,0,0.8,0.42,0.52,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T8,LO2a_1,0,3.4,1.17,0.34,1.8,0.84,0.47,3,2.0,0.67,1.33,1.21,0.91,3.33,4.93,1.48
T8,LO2b_1,0,2.2,1.55,0.7,1.2,1.3,1.08,2,1.0,0.5,0.67,1.21,1.81,2.33,3.21,1.38
T8,LO2c_1,0,5.3,3.2,0.6,3,1.41,0.47,5,2.0,0.4,2.17,1.6,0.74,5.33,5.86,1.1
T8,LO2c_1,0,4.2,1.69,0.4,2.2,0.84,0.38,3.67,0.58,0.16,1.67,1.03,0.62,4,1.73,0.43
T8,LO3a_1,0,0.9,0.74,0.82,0.6,0.55,0.92,1,0.0,0.0,0.33,0.52,1.58,1.33,2.31,1.74
T8,LO3b_1,0,1.9,1.37,0.72,1,1.22,1.22,1.67,2.08,1.25,1,0.89,0.89,2,3.46,1.73
T8,LO3c_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T8,LO3d_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.5,0.55,1.1,1,1.73,1.73
T8,LO3e_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T8,LO3f_1,0,1,1.05,1.05,0.4,0.89,2.23,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T8,LO4a_1,0,1.1,1.37,1.25,0.8,1.3,1.62,1.33,2.31,1.74,0.33,0.52,1.58,1.67,2.89,1.73
T8,LO4b_1,0,1.3,1.06,0.82,0.8,0.84,1.05,1.33,1.53,1.15,0.5,0.55,1.1,1.67,2.89,1.73
T8,LO5a_1,0,0.6,0.84,1.4,0.4,0.89,2.23,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T8,LO6a_1,0,1.1,0.88,0.8,0.6,0.55,0.92,1,1.0,1.0,0.5,0.55,1.1,1.33,2.31,1.74
T8,LO7a_1,0,1.9,2.73,1.44,1.6,2.51,1.57,2.67,2.89,1.08,0.17,0.41,2.41,3,5.2,1.73
T8,LO8a_1,0,0.7,0.67,0.96,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
