topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T8,LO1a_1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,3
T8,LO2a_1,0,5,4,4,5,3,2,2,4,3,2,2,3,1,1,2,3,5,1,2,1,2,0,3,0,0,9,1
T8,LO2b_1,0,4,2,2,4,2,1,0,4,3,0,2,0,3,1,0,3,2,1,0,3,0,1,0,0,6,0,1
T8,LO2c_1,0,4,11,11,4,3,5,4,3,6,2,4,1,4,2,4,3,7,5,2,5,2,2,2,0,3,12,1
T8,LO2c_1,0,4,7,7,4,3,4,3,3,5,2,2,2,3,3,1,4,3,4,2,3,0,2,1,2,5,5,2
T8,LO3a_1,0,1,2,1,2,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,4
T8,LO3b_1,0,1,4,1,4,1,2,1,2,3,0,3,0,1,1,0,1,4,0,0,2,1,2,0,1,0,0,6
T8,LO3c_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,3
T8,LO3d_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,3
T8,LO3e_1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,3
T8,LO3f_1,0,0,2,0,2,0,2,0,2,2,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,3
T8,LO4a_1,0,0,4,1,3,0,1,0,1,1,0,1,0,0,3,0,0,4,0,1,0,1,0,0,0,0,0,5
T8,LO4b_1,0,1,3,1,3,0,1,1,1,2,0,2,0,1,1,0,1,3,0,1,0,1,0,1,0,0,0,5
T8,LO5a_1,0,0,2,1,1,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,3
T8,LO6a_1,0,1,2,1,2,0,1,0,2,2,0,1,1,0,1,0,1,2,0,1,1,1,0,0,0,0,0,4
T8,LO7a_1,0,1,7,1,7,0,1,0,1,1,0,1,0,1,6,0,1,1,6,0,1,0,0,0,0,0,0,9
T8,LO8a_1,0,0,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3
