topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T6,LO1a_1,0,0.71,0.71,0.71,0.71,0.71,0.71,0.0,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6,LO2a_1,0,0.58,0.58,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.0,0.58,0.58,0.58,0.0,0.0,0.58,0.58,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.58,0.0,0.58
T6,LO2a_2,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.58,0.0,0.5,0.58,0.5,0.0,0.5,0.0,0.0,0.58,0.58,0.5,0.0,0.58,0.0,0.0,0.5,0.0,0.0,0.0
T6,LO2b_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.0,0.58,0.58,0.0,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0
T6,LO2c_1,0,0.49,0.49,0.49,0.49,0.5,0.36,0.45,0.47,0.41,0.43,0.46,0.39,0.33,0.46,0.33,0.47,0.49,0.47,0.43,0.39,0.29,0.29,0.24,0.24,0.51,0.5,0.17
T6,LO3a_1,0,0.52,0.52,0.53,0.53,0.48,0.48,0.48,0.53,0.48,0.32,0.48,0.48,0.32,0.32,0.42,0.53,0.42,0.48,0.32,0.32,0.42,0.32,0.32,0.42,0.52,0.53,0.32
T6,LO3b_1,0,0.52,0.52,0.53,0.53,0.46,0.52,0.46,0.53,0.46,0.35,0.46,0.35,0.52,0.35,0.35,0.46,0.46,0.0,0.35,0.53,0.35,0.0,0.0,0.0,0.0,0.35,0.35
T6,LO3c_1,0,0.53,0.53,0.53,0.53,0.53,0.49,0.49,0.49,0.49,0.38,0.38,0.38,0.49,0.49,0.38,0.49,0.53,0.49,0.49,0.53,0.0,0.0,0.0,0.0,0.53,0.53,0.0
T6,LO3d_1,0,0.5,0.5,0.49,0.49,0.45,0.46,0.49,0.45,0.46,0.39,0.45,0.29,0.39,0.46,0.39,0.41,0.45,0.51,0.33,0.29,0.39,0.29,0.29,0.29,0.5,0.49,0.24
T6,LO4a_1,0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.58,0.58,0.58,0.58,0.0,0.58,0.0,0.0,0.58,0.58,0.0,0.58,0.58,0.0,0.0,0.0,0.0,0.0,0.58,0.58
T6,LO4a_2,0,0.58,0.58,0.58,0.58,0.0,0.0,0.0,0.58,0.58,0.58,0.58,0.0,0.58,0.58,0.0,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,0.0,0.0,0.0
T6,LO4b_1,0,0.52,0.52,0.52,0.52,0.35,0.53,0.52,0.35,0.46,0.0,0.46,0.35,0.52,0.35,0.35,0.52,0.52,0.46,0.0,0.46,0.0,0.46,0.52,0.0,0.0,0.0,0.0
T6,LO4c_1,0,0.53,0.53,0.53,0.53,0.5,0.33,0.44,0.53,0.53,0.33,0.33,0.44,0.33,0.44,0.5,0.53,0.5,0.33,0.33,0.44,0.0,0.0,0.44,0.44,0.53,0.53,0.0
T6,LO5a_1,0,0.71,0.71,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.71,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.71,0.0,0.0,0.0
T6,LO6a_1,0,0.71,0.71,0.71,0.71,0.0,0.71,0.0,0.71,0.71,0.0,0.71,0.71,0.0,0.0,0.0,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T6,LO7a_1,0,0.0,0.0,0.45,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
