label,bow_wt,bow_stem,bow_lem
creat,,3.0,
create,1.0,,1.0
demonstr,,1.0,
demonstrate,1.0,,1.0
develop,,2.0,
discov,,3.0,
discover,1.0,,1.0
execut,,6.0,
test,23.0,48.0,31.0
use,7.0,12.0,7.0
