label,bow_wt,bow_stem,bow_lem
compar,,5.0,
compare,2.0,,2.0
creat,,4.0,
create,2.0,,2.0
critic,,1.0,
demonstr,,2.0,
demonstrate,1.0,,1.0
design,,1.0,
develop,1.0,5.0,1.0
discus,,,1.0
discuss,1.0,1.0,
question,1.0,1.0,1.0
select,1.0,1.0,1.0
use,1.0,2.0,1.0
