label,bow_wt,bow_stem,bow_lem
appli,,1.0,
apply,1.0,,1.0
creat,,2.0,
create,2.0,,2.0
demonstr,,1.0,
design,,1.0,
develop,1.0,6.0,1.0
evalu,,2.0,
execut,,1.0,
gener,,3.0,
generate,1.0,,1.0
plan,1.0,1.0,1.0
prepar,,1.0,
question,,1.0,1.0
rearrang,,1.0,
rearrange,1.0,,1.0
select,6.0,6.0,6.0
test,,1.0,1.0
use,6.0,8.0,6.0
