label,bow_wt,bow_stem,bow_lem
appli,,6.0,
apply,4.0,,4.0
attribut,,5.0,
attribute,,,5.0
creat,,9.0,
create,8.0,,8.0
design,21.0,23.0,21.0
discus,,,1.0
discuss,1.0,2.0,
duplic,,5.0,
experi,,1.0,
explain,1.0,3.0,1.0
gener,,1.0,
implement,3.0,6.0,3.0
list,5.0,6.0,5.0
organ,,3.0,
organize,2.0,,2.0
question,1.0,1.0,1.0
recogn,,1.0,
understand,4.0,7.0,4.0
use,5.0,8.0,5.0
