label,bow_wt,bow_stem,bow_lem
compar,,1.0,
compare,1.0,,1.0
creat,,2.0,
design,6.0,6.0,6.0
discov,,2.0,
discover,1.0,,1.0
discus,,,1.0
discuss,1.0,2.0,
explain,1.0,1.0,1.0
gener,,2.0,
implement,,1.0,
measur,,1.0,
measure,1.0,,1.0
produc,,1.0,
produce,,,1.0
question,6.0,15.0,15.0
test,2.0,5.0,2.0
use,,4.0,
