label,bow_wt,bow_stem,bow_lem
develop,,2.0,
discus,,,1.0
discuss,1.0,1.0,
experi,,2.0,
gener,,2.0,
measur,,1.0,
plan,1.0,1.0,1.0
question,3.0,9.0,9.0
understand,1.0,1.0,1.0
use,1.0,4.0,1.0
