label,bow_wt,bow_stem,bow_lem
creat,,1.0,
create,1.0,,1.0
develop,,1.0,
discuss,,2.0,
evalu,,1.0,
explain,,1.0,
implement,,2.0,
organ,,1.0,
test,3.0,5.0,3.0
understand,1.0,1.0,1.0
use,2.0,2.0,2.0
