label,bow_wt,bow_stem,bow_lem
contract,1.0,1.0,1.0
creat,,1.0,
develop,1.0,1.0,1.0
discus,,,1.0
discuss,1.0,2.0,
explain,1.0,1.0,1.0
measur,,8.0,
measure,8.0,,8.0
organ,,3.0,
organize,2.0,,2.0
plan,,1.0,
question,8.0,17.0,17.0
rememb,,1.0,
remember,1.0,,1.0
use,4.0,6.0,4.0
