topic,lo,er,ls_mean,ls_std,ls_ccv,ct_mean,ct_std,ct_ccv,d_mean,d_std,d_ccv,bt_mean,bt_std,bt_ccv,p_mean,p_std,p_ccv
T5,LO1a_1,0,0.8,0.42,0.52,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T5,LO2a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T5,LO2b_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.52,1.58,1,1.73,1.73
T5,LO2c_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,0.58,0.87,0.17,0.41,2.41,1,1.73,1.73
T5,LO2d_1,0,1,0.67,0.67,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T5,LO2e_1,0,1,0.82,0.82,0.4,0.55,1.38,0.67,1.15,1.72,0.33,0.82,2.48,1,1.73,1.73
T5,LO2f_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
T5,LO3a_1,0,1.3,1.49,1.15,1,1.22,1.22,1.67,2.08,1.25,0.17,0.41,2.41,2,3.46,1.73
T5,LO3b_1,0,0.9,0.74,0.82,0.6,0.55,0.92,1,1.0,1.0,0.33,0.52,1.58,1.33,2.31,1.74
T5,LO3c_1,0,2,2.16,1.08,1.4,1.67,1.19,2.33,4.04,1.73,0.83,0.41,0.49,2.67,4.62,1.73
T5,LO4a_1,0,3.6,2.12,0.59,2,1.87,0.94,3.33,2.08,0.62,1.5,0.55,0.37,3.67,2.31,0.63
T5,LO4b_1,0,2.8,1.48,0.53,1.6,1.34,0.84,2.67,2.08,0.78,1,1.1,1.1,3,2.0,0.67
T5,LO4c_1,0,7,1.83,0.26,3.2,2.17,0.68,5.33,2.08,0.39,2.17,1.6,0.74,5.67,3.06,0.54
T5,LO4d_1,0,2.9,1.29,0.44,1.6,0.55,0.34,2.67,2.52,0.94,1.17,0.75,0.64,3,4.36,1.45
T5,LO4e_1,0,6.5,2.59,0.4,3.4,1.14,0.34,5.67,3.06,0.54,2.33,1.97,0.85,6,3.46,0.58
T5,LO5a_1,0,0.6,0.97,1.62,0.4,0.55,1.38,0.67,0.58,0.87,0.33,0.52,1.58,1,1.73,1.73
T5,LO6a_1,0,0.7,0.48,0.69,0.4,0.55,1.38,0.67,1.15,1.72,0.17,0.41,2.41,1,1.73,1.73
