topic,lo,er,ls_p_s,ls_p_i,ls_i_v,ls_i_a,ls_o_i,ls_o_d,ls_pr_a,ls_pr_r,ls_u_s,ls_u_g,ct_text,ct_video,ct_image,ct_website,ct_audio,d_shallow,d_general,d_deep,bt_remember,bt_understand,bt_apply,bt_analyze,bt_evaluate,bt_create,p_adaptive,p_adaptable,p_none
T5,LO1a_1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
T5,LO2a_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1
T5,LO2b_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,1
T5,LO2c_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,1
T5,LO2d_1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,0,0.5,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
T5,LO2e_1,0,0.5,0.5,0.5,0.5,0,1,0,1,1,0,0.5,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
T5,LO2f_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,0,1,0,0,0.5,0,0,0,0,0,0,1
T5,LO3a_1,0,0.2,0.8,0.2,0.8,0,0.2,0,0.2,0.2,0,0.2,0,0.2,0.6,0,0.2,0.8,0,0,0.2,0,0,0,0,0,0,1
T5,LO3b_1,0,0.33,0.67,0.33,0.67,0.33,0,0,0.33,0.33,0,0.33,0,0.33,0.33,0,0.33,0.67,0,0,0.33,0.33,0,0,0,0,0,1
T5,LO3c_1,0,0.14,0.86,0.14,0.86,0.14,0.14,0.14,0.14,0.29,0,0.29,0,0.14,0.57,0,0,1,0,0.14,0.14,0.14,0.14,0,0.14,0,0,1
T5,LO4a_1,0,0.7,0.3,0.3,0.7,0.1,0.4,0.1,0.4,0.4,0.2,0.2,0.1,0.5,0,0.2,0.4,0.5,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.5,0.5,0
T5,LO4b_1,0,0.5,0.5,0.5,0.5,0.38,0.25,0.12,0.25,0.5,0,0.38,0.12,0.38,0,0.12,0.62,0.25,0.12,0,0.38,0.12,0.12,0,0.12,0.38,0.62,0
T5,LO4c_1,0,0.5,0.5,0.44,0.56,0.44,0.38,0.25,0.56,0.5,0.25,0.25,0.19,0.38,0.19,0,0.38,0.44,0.19,0.06,0.31,0.06,0.06,0.19,0.12,0.31,0.56,0.12
T5,LO4d_1,0,0.5,0.5,0.5,0.5,0.12,0.5,0.25,0.38,0.25,0.12,0.25,0.12,0.25,0.12,0.25,0.38,0.62,0,0,0.25,0.25,0.12,0.12,0.12,1,0,0
T5,LO4e_1,0,0.29,0.71,0.53,0.47,0.41,0.29,0.35,0.18,0.29,0.29,0.29,0.12,0.24,0.18,0.18,0.53,0.29,0.18,0,0.29,0.06,0.18,0.24,0.06,0.47,0.47,0.06
T5,LO5a_1,0,0,1,0,1,0,0,0,1,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0,0,1
T5,LO6a_1,0,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0,0,1,0,0,0,0.5,0,0,0,0,0,0,1
